tractid00,totalpop,households,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
"25025010402",3769,1028,1.37,6.27,13.68,38.55286,44.75,27.02,13.23,11.42,5.52,4.28,4.28,5.14,3.81,2.57,2.66,5.14,6.66,2.47,1.52,4.37,19269,13.24,6.66,1062,9.14,90.86,3.2,198730,26.91,16.15,6.57,10.98,10.33,7.53,12.7,8.83,809,38.65,28.9,,,19.23,59.97
"25025010500",3061,1614,2.74,15.69,29.72,71.38908,70.58,18.03,8.46,5.47,2.55,2.36,3.05,4.54,3.92,3.36,4.48,8.21,8.96,4.73,4.23,17.66,46610,17.58,1.18,1656,14.13,85.87,2.54,576305,12.4,8.36,4.03,3.81,7.69,7.62,12.62,43.54,1738,42.49,29.700001,48.65,18.92,24.79,62.51
"25025010600",2406,1672,3.76,15.72,26.29,72.75223,75.07,6.85,3.27,2.5,1.25,1.49,2.26,5.42,3.93,3.04,6.55,8.15,10.18,8.57,7.38,29.05,85937,3.63,.42,1816,12.02,87.98,7.93,462938,7.41,5.14,2.6,2.8,6.28,6.94,13.42,55.47,2159,42.45,27.5,,,35.65,66.15
"25025010700",4908,3104,5.87,18.26,31.04,76.18491,86.96,5.31,2.35,.97,.9,1.74,2.96,3.09,3.38,3.22,4.64,6.99,10.53,8.7,7.6,37.58,108064,0,.61,3377,34.89,65.11,8.08,703606,1.58,1.53,1.02,4.89,14.83,17.07,28.24,30.94,1648,31.6,22.799999,0,0,23.75,53.93
"25025010800",6306,3663,4.49,19.16,26.16,63.57481,83.08,5.19,2.78,3.41,2.59,2.18,1.77,3,2.46,2.16,4.72,8.3,12.12,10.84,9.01,29.48,100218,1.48,.44,3943,43.27,56.73,7.1,623113,.45,1.5,1.45,4.86,19.38,21.13,26.49,24.79,1517,32,24.6,14.55,0,28.7,49.09
"25025020100",4157,2666,9.26,21.16,26.94,76.55817,84.06001,3.87,2.2,3.2,2.42,1.94,1.42,2.35,1.6,1.38,4.92,6.41,12.66,9.65,7.56,38.4,114387,0,.34,2918,41.6,58.4,8.64,979583,.86,2.65,2.46,4.98,13.47,15.2,26.54,33.91,1690,30.02,23.1,29.7,4.89,42.66,47.3
"25025020200",3635,2352,5.56,18.88,30.51,74.95443,79.22,6.62,3.57,4.5,3.65,3.1,2.46,2.8,2.17,2,8.15,9.85,11.8,9.72,8.07,21.53,74767,1.38,.72,2480,19.81,80.19,5.16,323596,6.33,5.79,3.65,9.06,12.28,16.03,23.97,22.9,1456,40.39,26,9.09,0,23.3,67.18
"25025020300",5881,3059,7.14,12.93,28.88,76.89531,61.24,6.65,3.52,4.17,2.87,3.06,3.65,3.06,3.26,3.26,6.19,9.78,10.14,8.57,7.01,24.84,72935,3.42,.95,3291,30.3,69.7,7.05,379062,5.48,5.91,4.15,5.91,6.48,10.58,26.07,35.37,1706,46.85,29.4,,,32.24,49.92
"25025030100",1963,1232,6.39,20.7,32.11,66.05634,62.86,5.31,2.69,2.61,2.45,2.94,3.59,2.61,4.33,5.39,8.16,12.49,12.9,12.08,9.63,12.82,73678,4.82,1.8,1299,20.13,79.87,5.16,322514,0,4.52,4.84,14.96,20.45,18.41,19.48,17.44,1297,30.28,22.9,60,0,42.05,51.97
"25025030200",1534,1000,5.91,28.94,24.18,58.88278,54.71,7.62,3.96,4.36,2.97,3.66,5.25,5.25,4.06,3.17,8.91,11.58,13.76,8.81,6.73,10,60302,10.34,.69,1047,13.3,86.7,4.49,313991,6.24,8.62,6.69,6.69,13.49,17.69,30.05,10.66,1374,32.37,24.5,0,0,34.85,67.10001
"25025030300",4074,2353,3.73,26.19,27.26,62.06186,63.97,7.67,3.66,2.64,3.54,3.45,2.85,1.49,1.02,1.24,4.13,6.48,12.1,9.33,7.75,32.63,99075,6.31,1.53,2610,35.32,64.68,9.85,511910,8.21,8.69,6.07,6.48,4.34,8.07,18.76,39.38,1667,34.41,26.200001,0,0,35.86,46.49
