"Area Name-Legal/Statistical Area Description"	"Qualifying Name"	"FIPS"	"Summary Level"	"Geographic Component"	"State (Census)"	"State (FIPS)"	"County"	"County Size Code"	"County Subdivision (FIPS)"	"Census Tract"	"Male Population"	"Male Population: Below poverty level"	"Male Population: At or above poverty level"	"Female Population"	"Female Population: Below poverty level"	"Female Population: At or above poverty level"	"% Male Population: Below poverty level"	"% Male Population: At or above poverty level"	"% Female Population: Below poverty level"	"% Female Population: At or above poverty level"
Geo_NAME	Geo_QName	Geo_FIPS	Geo_SUMLEV	Geo_GEOCOMP	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUNTYSC	Geo_COUSUB	Geo_TRACT	SE_T183_001	SE_T183_002	SE_T183_003	SE_T183_004	SE_T183_005	SE_T183_006	PCT_SE_T183_002	PCT_SE_T183_003	PCT_SE_T183_005	PCT_SE_T183_006
"Census Tract 1402.02"	"Census Tract 1402.02, Suffolk County, Massachusetts"	"25025140202"	"140"	"00"	"14"	"25"	"025"	"20"	""	"140202"	2427	195	2232	2920	292	2628	8.03	91.97	10	90
"Census Tract 1403"	"Census Tract 1403, Suffolk County, Massachusetts"	"25025140300"	"140"	"00"	"14"	"25"	"025"	"20"	""	"140300"	2937	288	2649	3208	428	2780	9.81	90.19	13.34	86.66
"Census Tract 1404"	"Census Tract 1404, Suffolk County, Massachusetts"	"25025140400"	"140"	"00"	"14"	"25"	"025"	"20"	""	"140400"	3553	376	3177	4287	603	3684	10.58	89.42	14.07	85.93
"Census Tract 1501"	"Census Tract 1501, Suffolk County, Massachusetts"	"25025150100"	"140"	"00"	"14"	"25"	"025"	"20"	""	"150100"	572	418	154	66	26	40	73.08	26.92	39.39	60.61
"Census Tract 1601"	"Census Tract 1601, Suffolk County, Massachusetts"	"25025160100"	"140"	"00"	"14"	"25"	"025"	"20"	""	"160100"	3683	922	2761	3587	1155	2432	25.03	74.97	32.2	67.8
"Census Tract 1602"	"Census Tract 1602, Suffolk County, Massachusetts"	"25025160200"	"140"	"00"	"14"	"25"	"025"	"20"	""	"160200"	1985	517	1468	1934	532	1402	26.05	73.95	27.51	72.49
"Census Tract 1603"	"Census Tract 1603, Suffolk County, Massachusetts"	"25025160300"	"140"	"00"	"14"	"25"	"025"	"20"	""	"160300"	1053	140	913	1144	186	958	13.3	86.7	16.26	83.74
"Census Tract 1604"	"Census Tract 1604, Suffolk County, Massachusetts"	"25025160400"	"140"	"00"	"14"	"25"	"025"	"20"	""	"160400"	1496	385	1111	1266	430	836	25.74	74.26	33.97	66.03
"Census Tract 1605"	"Census Tract 1605, Suffolk County, Massachusetts"	"25025160500"	"140"	"00"	"14"	"25"	"025"	"20"	""	"160500"	5164	952	4212	4993	1152	3841	18.44	81.56	23.07	76.93
"Census Tract 1606"	"Census Tract 1606, Suffolk County, Massachusetts"	"25025160600"	"140"	"00"	"14"	"25"	"025"	"20"	""	"160600"	3768	641	3127	3918	909	3009	17.01	82.99	23.2	76.8
"Census Tract 1701"	"Census Tract 1701, Suffolk County, Massachusetts"	"25025170100"	"140"	"00"	"14"	"25"	"025"	"20"	""	"170100"	3176	429	2747	3587	565	3022	13.51	86.49	15.75	84.25
"Census Tract 1702"	"Census Tract 1702, Suffolk County, Massachusetts"	"25025170200"	"140"	"00"	"14"	"25"	"025"	"20"	""	"170200"	2018	377	1641	2297	413	1884	18.68	81.32	17.98	82.02
"Census Tract 1703"	"Census Tract 1703, Suffolk County, Massachusetts"	"25025170300"	"140"	"00"	"14"	"25"	"025"	"20"	""	"170300"	3436	212	3224	3736	382	3354	6.17	93.83	10.22	89.78
"Census Tract 1704"	"Census Tract 1704, Suffolk County, Massachusetts"	"25025170400"	"140"	"00"	"14"	"25"	"025"	"20"	""	"170400"	2404	315	2089	2475	306	2169	13.1	86.9	12.36	87.64
"Census Tract 1705"	"Census Tract 1705, Suffolk County, Massachusetts"	"25025170500"	"140"	"00"	"14"	"25"	"025"	"20"	""	"170500"	3015	312	2703	3045	316	2729	10.35	89.65	10.38	89.62
"Census Tract 1706"	"Census Tract 1706, Suffolk County, Massachusetts"	"25025170600"	"140"	"00"	"14"	"25"	"025"	"20"	""	"170600"	2262	204	2058	2502	296	2206	9.02	90.98	11.83	88.17
"Census Tract 1707"	"Census Tract 1707, Suffolk County, Massachusetts"	"25025170700"	"140"	"00"	"14"	"25"	"025"	"20"	""	"170700"	4253	1085	3168	4025	1165	2860	25.51	74.49	28.94	71.06
"Census Tract 1708"	"Census Tract 1708, Suffolk County, Massachusetts"	"25025170800"	"140"	"00"	"14"	"25"	"025"	"20"	""	"170800"	2248	182	2066	2459	314	2145	8.1	91.9	12.77	87.23
"Census Tract 1801"	"Census Tract 1801, Suffolk County, Massachusetts"	"25025180100"	"140"	"00"	"14"	"25"	"025"	"20"	""	"180100"	2249	125	2124	2593	194	2399	5.56	94.44	7.48	92.52
"Census Tract 1802"	"Census Tract 1802, Suffolk County, Massachusetts"	"25025180200"	"140"	"00"	"14"	"25"	"025"	"20"	""	"180200"	1960	62	1898	2160	155	2005	3.16	96.84	7.18	92.82
"Census Tract 1803"	"Census Tract 1803, Suffolk County, Massachusetts"	"25025180300"	"140"	"00"	"14"	"25"	"025"	"20"	""	"180300"	1559	41	1518	1634	51	1583	2.63	97.37	3.12	96.88
"Census Tract 1804"	"Census Tract 1804, Suffolk County, Massachusetts"	"25025180400"	"140"	"00"	"14"	"25"	"025"	"20"	""	"180400"	789	16	773	944	46	898	2.03	97.97	4.87	95.13
"Census Tract 1805"	"Census Tract 1805, Suffolk County, Massachusetts"	"25025180500"	"140"	"00"	"14"	"25"	"025"	"20"	""	"180500"	2049	146	1903	2157	160	1997	7.13	92.87	7.42	92.58
