"Area Name-Legal/Statistical Area Description"	"Qualifying Name"	"FIPS"	"Summary Level"	"Geographic Component"	"State (Census)"	"State (FIPS)"	"County"	"County Size Code"	"County Subdivision (FIPS)"	"Census Tract"	"Male Population"	"Male Population: Below poverty level"	"Male Population: At or above poverty level"	"Female Population"	"Female Population: Below poverty level"	"Female Population: At or above poverty level"	"% Male Population: Below poverty level"	"% Male Population: At or above poverty level"	"% Female Population: Below poverty level"	"% Female Population: At or above poverty level"
Geo_NAME	Geo_QName	Geo_FIPS	Geo_SUMLEV	Geo_GEOCOMP	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUNTYSC	Geo_COUSUB	Geo_TRACT	SE_T183_001	SE_T183_002	SE_T183_003	SE_T183_004	SE_T183_005	SE_T183_006	PCT_SE_T183_002	PCT_SE_T183_003	PCT_SE_T183_005	PCT_SE_T183_006
"Census Tract 924"	"Census Tract 924, Suffolk County, Massachusetts"	"25025092400"	"140"	"00"	"14"	"25"	"025"	"20"	""	"092400"	2831	896	1935	3614	1539	2075	31.65	68.35	42.58	57.42
"Census Tract 1001"	"Census Tract 1001, Suffolk County, Massachusetts"	"25025100100"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100100"	2455	747	1708	2934	993	1941	30.43	69.57	33.84	66.16
"Census Tract 1002"	"Census Tract 1002, Suffolk County, Massachusetts"	"25025100200"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100200"	1192	223	969	1418	275	1143	18.71	81.29	19.39	80.61
"Census Tract 1003"	"Census Tract 1003, Suffolk County, Massachusetts"	"25025100300"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100300"	1574	280	1294	2090	452	1638	17.79	82.21	21.63	78.37
"Census Tract 1004"	"Census Tract 1004, Suffolk County, Massachusetts"	"25025100400"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100400"	2268	341	1927	2876	423	2453	15.04	84.96	14.71	85.29
"Census Tract 1005"	"Census Tract 1005, Suffolk County, Massachusetts"	"25025100500"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100500"	2960	824	2136	3581	1027	2554	27.84	72.16	28.68	71.32
"Census Tract 1006.01"	"Census Tract 1006.01, Suffolk County, Massachusetts"	"25025100601"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100601"	2751	327	2424	2886	534	2352	11.89	88.11	18.5	81.5
"Census Tract 1006.02"	"Census Tract 1006.02, Suffolk County, Massachusetts"	"25025100602"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100602"	851	116	735	767	145	622	13.63	86.37	18.9	81.1
"Census Tract 1007"	"Census Tract 1007, Suffolk County, Massachusetts"	"25025100700"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100700"	2010	72	1938	2374	176	2198	3.58	96.42	7.41	92.59
"Census Tract 1008"	"Census Tract 1008, Suffolk County, Massachusetts"	"25025100800"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100800"	2662	176	2486	2826	313	2513	6.61	93.39	11.08	88.92
"Census Tract 1009"	"Census Tract 1009, Suffolk County, Massachusetts"	"25025100900"	"140"	"00"	"14"	"25"	"025"	"20"	""	"100900"	1936	182	1754	2291	234	2057	9.4	90.6	10.21	89.79
"Census Tract 1010.01"	"Census Tract 1010.01, Suffolk County, Massachusetts"	"25025101001"	"140"	"00"	"14"	"25"	"025"	"20"	""	"101001"	2865	426	2439	3263	453	2810	14.87	85.13	13.88	86.12
"Census Tract 1010.02"	"Census Tract 1010.02, Suffolk County, Massachusetts"	"25025101002"	"140"	"00"	"14"	"25"	"025"	"20"	""	"101002"	2419	380	2039	2893	476	2417	15.71	84.29	16.45	83.55
