RegionName,City,State,Metro,CountyName,X2010.02,X2010.03,X2010.04,X2010.05,X2010.06,X2010.07,X2010.08,X2010.09,X2010.10,X2010.11,X2010.12,X2011.01,X2011.02,X2011.03,X2011.04,X2011.05,X2011.06,X2011.07,X2011.08,X2011.09,X2011.10,X2011.11,X2011.12,X2012.01,X2012.02,X2012.03,X2012.04,X2012.05,X2012.06,X2012.07,X2012.08,X2012.09,X2012.10,X2012.11,X2012.12,X2013.01,X2013.02,X2013.03,X2013.04,X2013.05,X2013.06,X2013.07,X2013.08,X2013.09,X2013.10,X2013.11,X2013.12,X2014.01,X2014.02,X2014.03
Back Bay,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,2200,2500,2720,2705,2700,2685,2600,2500,2500,2450,2300,2300,2300,2500,2750,2800,2950,2800,2700,2791,2750,2770,2800,3000,2995,2966,3000,3151,3200,3250,3300,3095,2925,2800,2899,2900,2800,2900,2975,3000,3000,2950,2975,2850,2845,2750
Kenmore,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,2750,2750,2600,2600,1995,2100,2000,1800,1895,1850,1750,1995,2500,2650,2700,2782,2587,2225,2100,2095,1895,1900,1800,2000,2400,2900,2000,2790,2758,2500,2275,2295,2150,2200,2050,2000,1995,1895,1850,1895,1999,2100,2100,2060
Mission Hill,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3050,2895,2800,2400,2400,2325,2345,2400,2400,2400,2490,2700,2950,2650,2600,2600,2650,2400,2450,2700,2600,2550,2800,2815,3250,2930,2950,3000,2790,2600,2650,2700,2600,2550,3090,3550,3500,3200,2900
Charlestown,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,2626,NA,2500,2750,2700,2530,2500,2550,2550,2530,2520,2580,2635,2700,2710,2700,2520,2520,2500,2500,2515,2515,2500,2485,2540,2580,2660,2699,2645,2855,2950,2900,2800,2750,2700,2725,2600,2700,2700,2600,2740,2650
Mid-Cambridge,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1825,1850,1875,1650,1700,1800,1850,1800,1800,1800,1900,1900,1975,2000,1975,2105,2105,1900,2120,2170,2300,2270,2200,2165,2120,2120,2150,2190,2100,2200,2200,2200,2200,2200,2395,2400,2500,2395,2250,2400
Riverside,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,2250,2200,2250,1810,1850,1995,1900,2200,2300,2300,2300,2250,2200,2400,2450,2550,2350,2100,2250,2220,2300,2350,2200,2200,2200,2200,2300,2270,2320,2400,2400,2500,2450,2300,2300,2400,2400,2600,2600
Cambridgeport,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,2305,2305,2305,2272,2242,2465,2462,2543,2650,2551,2526,2700,2673,2829,2848,2870,2870,2925,2920,3000,3106,2984,2868,2919,3000,3026,3000,3000,3000,2980,3038,3031,3031,2950,2885,2952,3000,3143,3000,2865,2856,2850,2845,3000
North Cambridge,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,2077,2200,2200,2000,2100,2000,2000,2325,2100,2000,2311,2383,2450,2345,2390,2310,2310,2400,2822,2600,2500,2426,2400,2320,2490,2592,2600,2600,2280,2470,2500,2650,2500,2500,2500,2630,2482,2600,2700
Peabody,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,1850,1725,1725,1756,1756,1750,1900,1915,1950,1925,2000,1925,1860,1850,1945,2090,2100,2075,2000,2135,2200,2290,2215,2160,2100,2205,2255,2300,2200,2175,2175,2250,2350,2257,2200,2250,2200,2200,2230
North End,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,2000,1900,2000,2100,2000,2000,2250,2400,2495,2400,2400,2400,2400,2400,2400,2500,2500,2500,2400,2475,2500,2700,2800,2500,2450,2400,2400,2500,2600,2600,2600,2600,2700,2600,2600,2500,2450,2600,2750
