tractid00,totalpop,households,pcthhchild,pctind_info,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,PCT_B25026003,pctunits_newres_2005,pctunits_newres_2000
"250170507005105357600",2398,984,31.91,.44,9.86,18.48,55.15,63.58,1.32,1.73,1.83,9.96,1.52,3.15,2.95,2.24,2.85,3.96,12.3,11.99,20.93,10.37,12.91,90208,1.45955,98.78,1042,53.25,46.75,5.57,435100,0,1.74,0,5.43,33.7,19.35,29.35,10.43,1368,51.95,31.299999,36.69,6.94,84.26,8.72,20.30859,61.25938
"250170507005105357700",3433,1300,31.77,2.68,8.84,20.35,55.93,49.29,7.15,2.15,4.77,.77,4.85,4.85,5.92,1.23,4.23,6.69,15.38,9.38,8.15,13.31,11.16,67308,4.6875,97.77,1434,48.31,51.69,9.34,529600,6.58,6.13,6.13,0,22.21,21.9,35.38,1.68,1352,43.6,28.799999,54.98,27.43,87.6,4.62,20.75,51
"250170507005105357800",3425,1301,39.82,0,10.1,20.56,60.97,70.71,.85,2.31,5.69,2.54,4.92,2.15,.85,2.08,0,6.69,5.38,7.84,13.07,7.15,38.51,117823,3.270073,100,1384,80.32,19.68,6,783200,0,4.26,11.17,31.91,9.57,13.83,23.4,5.85,1069,30.47,21.799999,46.41,20.92,86.65,9.4,20.43796,41.28467
"250170507005105358100",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170507005105358300",24,14,0,0,0,0,58.33,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,0,100,14,0,100,0,,0,0,0,0,0,0,0,100,2001,0,,,,100,0,100,100
"250170507005105369000",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170507005105369100",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170507005105370101",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170580553680316201",3241,1042,33.49,2.95,8.2,13.61,35.16,24.77,.86,2.3,1.73,3.65,3.17,3.65,0,2.3,8.73,5.95,8.45,16.41,11.71,15.55,15.55,92794,.6170935,97.12,1064,98.56,1.44,2.07,378700,0,0,0,0,0,0,100,0,,0,,46.41,37.9,97.1,5,4.998457,27.05955
"250170580553680316202",3653,1137,46.26,1.53,4.73,12.97,27.91,24.24,.7,1.32,2.73,1.23,1.58,4.93,.62,2.29,3.96,6.51,12.4,22.43,19.96,11.26,8.09,90615,1.673066,100,1160,98.33,1.67,1.98,360600,0,0,47.37,52.63,0,0,0,0,905,100,39.799999,42.97,14.41,93.16,19.66,19.65508,38.18779
"250170580599999315100",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170580599999315500",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170580599999316101",5191,1504,50.2,1.86,8.73,12.42,38.02,29.2,0,.73,1.6,.53,0,1.2,2.39,1.26,2.93,7.85,10.97,20.35,20.08,14.83,15.29,100087,.2516454,100,1574,96.41,3.59,4.45,392100,0,0,0,0,51.85,31.48,16.67,0,1241,31.48,26.4,21.64,6.25,94.08,5.07,5.875554,24.11867
"250170580599999316102",6525,2027,43.12,2.39,8.24,13.52,43.05,26.59,2.61,1.09,5.48,3.21,3.06,3.45,2.42,4.79,2.71,7.5,3.6,18.6,16.87,8.53,16.08,85590,5.316847,97.98,2110,87.07,12.93,3.93,388400,23.28,16.79,9.16,3.82,3.82,17.56,9.92,15.65,920,38.93,25.299999,33.88,18.4,88.95,7.24,12.73855,34.92366
"250170580599999316201",661,228,35.53,5.42,5.42,23.31,50.41,47.17,0,3.51,0,0,0,0,11.4,6.14,0,4.39,9.21,10.96,15.79,8.33,30.27,104423,2.571861,100,228,84.65,15.35,0,376400,0,0,0,22.86,0,0,0,77.14,2001,22.86,13.2,22.73,0,86.96,11.2,15.27988,35.24962
"250170580599999316202",498,168,36.9,2.61,4.1,13.43,38.43,38.39,0,0,0,3.57,0,0,5.36,0,10.71,0,5.36,26.79,21.43,14.88,11.9,92125,0,94.05,189,100,0,11.11,361600,,,,,,,,,,,,67.36,25,100,9.84,9.839357,9.839357
"250170580599999316300",7574,2827,33.89,3.51,7.31,17.96,43.09,32.59,1.87,1.27,2.62,.6,3.57,4.6,2.33,5.98,1.95,4.95,18.22,16.77,15.14,6.15,13.97,81755,3.328895,100,3082,72.13,27.87,8.27,339600,0,5.03,0,24.65,26.32,23.23,13.55,7.23,1193,14.6,20.1,47.12,15.4,83.83,10.56,27.1587,48.73251
"250170580599999316400",6180,1817,48.76,4.21,4.49,11.31,34.33,25.5,.77,1.54,0,1.82,.88,2.53,.44,5.17,3.03,2.86,15.24,24.93,16.29,10.35,14.14,91589,1.950967,98.95,1862,94.55,5.45,2.42,354700,0,0,7.78,16.67,15.56,7.78,11.11,41.11,1600,19.19,25,31.68,5.7,83.1,12.21,16.69544,42.10981
"250170580599999316500",5702,2023,42.76,5.23,6.67,9.7,43.76,25.22,2.32,1.24,3.06,.84,3.76,7.66,5.59,4.1,.44,5.78,16.56,14.98,20.66,6.13,6.87,73909,2.342606,98.71,2023,78.4,21.6,0,358900,3.33,7.36,7.13,16.86,43.71,11.88,9.74,0,1088,26.77,26.700001,41.91,28.73,89.1,11.59,16.18318,38.42365
"250170580599999317102",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170580599999317103",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170580599999331300",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170580599999332100",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170580599999359100",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170735099999388100",5101,1938,42.36,1.92,5.9,22.59,64.9,70.27,4.23,3.1,.46,.88,4.49,1.55,3.41,4.02,3.41,3.82,10.58,13.11,14.76,5.21,26.98,97051,5.116644,98.19,1997,76.93,23.07,2.95,494900,0,6.28,6.05,36.74,24.42,11.4,7.21,7.91,1010,45.63,29,36.96,16.71,89.05,9.7,20.89786,53.02882
"250170984009875331300",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250170984009875332100",6325,2132,42.78,5.15,11.45,18.26,44.61,43.72,.7,3.99,3.75,2.11,1.36,.38,2.44,2.16,3.71,6.05,6.1,12.99,18.2,10.27,25.8,107431,2.324111,99.11,2164,92.96,7.04,1.48,441300,0,0,0,0,14,25.33,16,44.67,1833,15.33,27.5,32.81,24.12,90.62,11.76,16.67984,34.24506
"250170984009875332200",8271,3159,38.33,3.71,9.2,19.16,51.22,47.89,2.6,1.99,1.39,1.2,2.22,3.36,4.75,5.44,2.66,6.84,11.97,9.91,19.75,6.58,19.34,84977,2.841253,99.02,3218,64.61,35.39,1.83,449900,1.38,.92,4.24,4.88,18.89,16.31,45.07,8.29,1537,43.38,28.1,39.2,25.43,84.62,7.96,24.49522,46.11293
"250170984009875332300",7529,2672,36.12,2.91,7.96,19.84,41.34,47.14,1.65,2.54,1.09,5.16,2.77,2.25,4.38,4.12,4.12,8.53,11.49,16.39,10.52,8.61,16.39,77895,1.832913,97.75,2717,79.34,20.66,1.66,421200,0,0,0,15.21,28.76,20.04,20.41,15.58,1325,29.9,25.1,46.63,13.41,85.3,14.29,23.81458,41.21397
"250170984009875332400",2858,1193,24.06,2.16,8.37,11.37,51.18,52.87,1.76,6.79,3.52,4.36,4.78,1.09,4.11,1.68,3.69,7.71,3.35,13.75,16.01,13.58,13.83,91223,2.064381,98.99,1193,77.37,22.63,0,431100,3.7,0,0,5.19,18.52,11.11,40.74,20.74,1641,66.3,45.900002,41.03,30.56,93.05,7.98,17.49475,31.6655
"250171100011000350800",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250171100011000351200",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250171100011000351500",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"250171100011000352100",3493,1697,12.79,3.98,7.5,21.11,69.88,66.78,8.78,1.53,7.66,1.47,1.3,2.47,2.83,2.42,2.65,4.77,8.96,13.08,8.6,2.95,30.52,84145,13.27114,100,2151,60.7,39.3,21.11,649500,1.37,5.03,0,12.8,18.29,9.15,21.65,31.71,1577,50.68,32.5,44.25,22.33,68.8,21.05,44.89075,62.24293
"250171100011000352200",2583,1177,16.82,3.87,9.16,20.7,48.84,46.46,15.12,5.52,2.63,5.78,3.57,6.03,.68,9.6,11.55,2.21,7.73,12.83,5.69,2.29,8.75,45496,9.291521,99.24,1267,28.38,71.62,7.1,385600,24.03,12.08,1.21,7.85,12.32,15.22,15.58,11.71,1098,46.73,29.6,45.11,50,83.47,1.66,18.85405,78.90051
"250171100011000352300",2758,1312,20.05,1.28,6.09,27.1,65.6,63.9,13.11,3.05,1.75,4.12,6.17,.84,5.03,2.06,3.43,9.3,2.59,16.62,11.81,4.8,15.32,65125,15.3372,97.94,1444,33.84,66.16,9.14,397900,2.65,1.15,1.27,3.69,20.39,12.44,20.74,37.67,1703,49.77,29.9,59.53,0,72.5,1.12,51.45033,73.13271
"250171100011000352400",1927,813,41.57,3.84,2.6,12.2,36.15,45.2,14.76,6.64,9.35,9.35,10.82,5.41,5.9,3.2,2.34,12.42,7.75,2.09,4.55,3.94,1.48,29693,15.20498,95.2,847,14.88,85.12,4.01,318800,18.5,19.97,16.15,8.52,4.7,6.31,18.8,7.05,735,31.65,26.200001,50.41,,80.7,0,29.63155,54.74831
