"tractid","year","totalpop","households","pcthhchild","pctind_finance","pctind_professional","pctocc_profmanage","pctcollege","pctinc_0_10K","pctinc_10K_15K","pctinc_15K_20K","pctinc_20K_25K","pctinc_25K_30K","pctinc_30K_35K","pctinc_35K_40K","pctinc_40K_45K","pctinc_45K_50K","pctinc_50K_60K","pctinc_60K_75K","pctinc_75K_100K","pctinc_100K_125K","pctinc_125K_150K","pctinc_150K_more","medhhincome","pctpoverty","pctpublicassist","units","pctown","pctrent","pctvacant","medianvalue","pctrent_0_300","pctrent_300_600","medianrent","pctincomerent_30_more","medianpctincomerent","pctinc_mortgage_30_more","pctinc_nomortgage_30_more","pctsameres","pctrent_600_800","pctrent_800_1000","pctrent_1000_1250","pctrent_1250_1500","pctrent_1500_2000","pctrent_2000_more","pctind_info","pctunits_newres_2000","pctunits_newres","pctrent_600_750","pctrent_750_1000","pctrent_1000_more","pctunits_newres_2005","pctunits_newres_2010"
25017358300,1990,3887,1475,29.03,9.85,36.86,52.32,59.26,2.06,1.1,1.17,1.16,0.75,0.75,1.17,1.64,1.85,7.81,6.71,8.9,10.68,10.47,43.74,132675,1.78,1.64,1571,77.47,22.53,5.92,493006,2.14,2.14,1784,43.42,24.6,22.07,3.65,60.67,,,,,,,,,38.29,0.92,1.83,90.21,,
25017358400,1990,4694,1726,29.72,6.81,40.77,56.41,62.58,1.39,2.62,2.5,2.21,2.03,1.51,2.5,1.22,2.32,4.71,6.04,9.76,8.31,9.94,43,129982,2.49,3.37,1753,82.97,17.03,1.54,556459,8.5,7.48,1579,43.2,29.1,17.64,4.52,70.34,,,,,,,,,31.17,1.7,3.06,73.47,,
25017358500,1990,4809,1585,31.25,8.01,41.87,52.59,50.66,1.77,1.96,1.83,1.39,1.95,1.83,2.08,2.33,1.2,4.42,4.23,9.21,9.34,10.98,45.43,138728,3.65,3.22,1625,84.16,15.84,2.46,526515,9.7,8.86,1702,21.1,21.200001,18.37,4.82,66.8,,,,,,,,,30.6,2.95,5.06,68.35,,
25017358600,1990,5706,2105,31.74,7.54,39.58,56.98,59.02,0.76,3.69,3.17,0.9,0.62,2.03,2.13,1.75,3.36,3.41,7.15,12.49,12.92,11.93,33.6,115481,2.45,4.97,2167,77.2,22.8,2.86,463240,9.91,9.25,1520,42.95,26.700001,19.12,3.89,64.45,,,,,,,,,33.39,3.08,5.29,70.7,,
25017358700,1990,4655,1737,28.89,7.62,41.45,62.87,66.24001,1.14,0.46,0.8,1.77,1.43,1.6,2.12,2.64,1.2,3.21,6.07,7.45,12.38,10.66,46.99,141187,2.06,1.83,1797,91.59,8.41,3.34,527050,0,0,1784,40.41,28,14.37,4.88,64.34,,,,,,,,,31.55,0,0,95.21,,
25017359100,1990,5629,1917,25.72,6.18,38.48,47.7,41.46,2.22,2.23,2.23,1.92,1.08,1.09,1.5,2.22,3.46,6.05,7.14,10.61,11.9,11.54,34.76,116993,1.59,4.66,1981,72.86,27.14,3.28,412264,8.37,8.98,1388,31.83,23.6,13.29,2.91,67.53,,,,,,,,,36.53,5.31,8.78,65.71,,
25017359200,1990,14,5,61.11,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,91586,0,0,6,100,0,0,401035,,,0,,0,0,0,100,,,,,,,,,0,,,,,
25017359300,1990,7353,2557,32.45,6.24,32.59,39.96,43.92,2.46,1.16,1.46,2.04,1.08,1.16,2.24,2.93,2.11,6.53,10.5,14.58,13.54,9.92,28.31,102510,1.81,2.81,2615,70.12,29.88,2.22,390519,0.54,1.74,1472,31,27.799999,19.57,3.51,60.39,,,,,,,,,42.39,2.95,4.83,68.72,,
25017360100,1990,3151,888,44.14,5.92,31.18,34.74,40.32,0.81,0,0.23,1.27,3.6,4.06,4.64,5.11,4.88,18.82,14.75,18.93,10.34,7.32,5.11,66472,0.42,2.67,893,0,100,0.56,0,0.23,0.81,1449,8.67,19.4,,,12.26,,,,,,,,,92.9,1.5,2.54,25.9,,
25017360200,1990,4515,1744,29.06,8.8,41.95,62.21,69.32,0.51,1.5,1.21,0.86,1.67,0.86,0.98,1.55,1.38,4.14,6.14,11.37,7.52,8.38,51.84,152382,1.64,0.98,1821,80.5,19.5,4.23,741648,0,4.32,1239,37.54,26.4,19.43,4.73,65.69,,,,,,,,,29.81,10.3,16.94,61.46,,
25017361100,1990,6461,1974,21.78,10.1,34.42,52.76,50.76,0.87,0.55,1.06,2.38,2.48,3.19,2.78,1.67,0.97,2.13,5.67,13.52,11.9,10.73,40.1,124797,1.96,1.32,2026,80.52,19.48,3.46,528119,0,1.69,1784,38.6,24.9,13.57,1.16,55.66,,,,,,,,,35.17,4.23,6.76,86.2,,
25017361200,1990,4511,1597,34.52,5.79,33.51,52.55,57.02,1.74,1.92,1.98,1.61,2.17,3.34,0.68,0.56,2.29,4.71,5.45,6.88,11.77,11.03,43.87,133911,2.81,1.49,1693,75.48,24.52,4.61,504057,2.53,4.04,1520,45.7,26.700001,17.34,3.85,63.57,,,,,,,,,34.73,5.3,8.84,76.01,,
25017361300,1990,6097,2120,28.88,9.47,38.7,59.63,61.08,2.9,3.52,3.24,1.62,0.33,1.14,1.95,1.57,1.28,4.05,3.9,10.76,9.67,7.57,46.48,138709,4.77,3.33,2191,77.45,22.55,3.47,619733,11.68,10.19,1469,31.42,25.4,17.09,3.07,56.92,,,,,,,,,38.44,2.34,3.82,66.24,,
25017362100,1990,4333,1457,34.96,7.27,38.85,64.02,66.38,1.03,1.31,1.31,1.03,0.82,0.96,0.89,0.96,0.89,3.59,2.21,10.48,9.99,10.2,54.31,157781,1.37,2.41,1495,91.76,8.24,2.54,656629,14.55,13.64,1189,26.36,26.4,28.36,2.46,64.77,,,,,,,,,36.86,6.36,10.91,53.64,,
25017363101,1990,7909,2775,35.33,8,27.26,54.69,63.13,0.69,1.19,1.08,0.9,1.55,1.55,1.47,2.09,1.87,4.75,9.35,12.08,10.79,10.5,40.2,124801,1.81,1.91,2890,78.92,21.08,3.98,459676,1.38,2.76,1415,35.86,25.4,21.17,1.67,63.01,,,,,,,,,40.46,4.14,6.72,83.1,,
25017363102,1990,3804,1680,25.44,8.28,24.58,49.81,55.61,2.62,1.5,1.26,0.66,1.92,1.91,2.33,4.48,5.5,7.17,13.86,14.4,11.83,8.6,21.92,88768,4.6,1.79,1787,43.8,56.2,5.71,394797,1.38,2.33,1285,34.57,24.9,23.21,3.09,34.39,,,,,,,,,70.86,2.97,4.98,86.64,,
25017363201,1990,2824,1010,34.49,6.75,31.61,54.49,60.21,1.95,3.98,3.69,1.75,0.87,1.95,1.36,1.46,0.77,4.18,7.29,8.55,11.66,11.27,39.36,124495,2.95,3.01,1040,78.91,21.09,2.88,415829,15.96,14.08,1155,42.73,26.5,19.83,1.24,60.89,,,,,,,,,43.86,3.76,6.57,59.15,,
25017363202,1990,3342,1137,37.04,4.92,32.29,55.22,54.44,0.18,1.28,1.1,0.64,1.64,1.91,2.19,2.46,3.01,5.75,4.56,10.12,12.03,14.59,38.56,127563,0.18,1.37,1181,82.32,17.68,3.73,416899,0,2.56,1273,33.33,25.1,21.51,1.48,64.5,,,,,,,,,36.59,6.15,10.26,75.9,,
25017364100,1990,10325,4051,31.6,5.55,21.16,34.05,28.47,3.14,3.22,3.37,3.83,3.98,3.37,3.02,2.8,3.02,7.02,8.75,15.18,12.48,10.17,16.58,81259,5.57,3.69,4211,64.85,35.15,3.8,301044,7.09,9.34,1125,29.29,24.299999,20.7,5.27,57.29,,,,,,,,,46.53,8.78,14.75,56.6,,
25017365100,1990,5869,1875,38.25,7.88,33.83,59.06,65.78,1.34,0.22,0.32,0.86,0.86,0.7,1.45,1.56,1.39,2.47,4.57,8.65,10.42,9.94,55.24,160722,1.67,1.5,1932,95.04,4.96,2.95,589076,0,4.41,1645,25,20,18.4,1.28,67.77,,,,,,,,,30.35,8.82,16.18,64.71,,
25017365201,1990,4893,1709,34.5,5.1,30.64,55.22,63.33,2.3,1.06,1.12,1.12,1.11,1.35,1.18,1.23,1.12,4,4.59,8.54,10.78,11.66,48.76,145314,1.78,2.06,1743,90.7,9.3,1.95,473935,23.61,18.75,945,29.86,27.1,23.85,1.65,69.56,,,,,,,,,32.48,0.69,1.39,43.75,,
25017365202,1990,3596,1178,38.26,7.78,31.07,56.34,59.09,2.6,1.22,1.65,2.86,1.91,1.13,1.47,1.82,1.12,3.72,2.25,10.3,10.74,11.69,45.8,140558,0.96,4.76,1200,83.02,16.98,1.83,530258,17.95,15.38,1107,38.97,28.6,25.77,1.87,67.63,,,,,,,,,31.33,3.59,5.64,48.21,,
25017366100,1990,4486,1644,33.21,5.98,31.02,41.09,41.36,2.07,3.1,2.98,2.31,2.07,2.01,2.5,3.29,2.62,4.19,7.3,16.36,10.89,12.1,26.28,98094,3.18,3.28,1701,79.95,20.05,3.53,393728,16.72,14.89,1087,29.49,25.4,20.46,3.6,73.08,,,,,,,,,29.07,4.56,7.6,49.54,,
25017366200,1990,7388,2566,33.29,10.26,39.62,59.07,70.09,1.42,0.32,0.24,0.39,0.79,0.2,0.4,0.67,0.86,4.68,5.47,8.22,9.44,9.99,56.98,170262,0.81,0.51,2678,94.67,5.33,4.03,590324,0,1.54,1784,26.16,22.5,14.21,1,71.89,,,,,,,,,23.78,3.08,4.62,73.85,,
25017367100,1990,3547,1237,30.28,12.89,38.18,61.82,69.33,1.36,1.28,1.28,1.28,1.28,1.36,1.52,1.2,0.88,3.6,4.57,8.25,8.97,9.46,53.61,159346,4.14,2.08,1286,89.17,10.83,3.81,756442,0,2.99,1732,32.84,19.700001,19.62,3.54,73.24,,,,,,,,,23.12,6.72,11.94,63.43,,
25017367200,1990,6653,2113,28.36,16.2,41.09,56.29,67.50999,3.15,0.94,0.99,0.99,0.71,1.22,1.6,2.02,1.46,3.52,3.99,6.06,8.22,5.82,59.2,193123,3.28,1.64,2222,85.28,14.72,4.91,891192,3.58,3.58,1784,40.5,28.700001,18.46,5.65,63.65,,,,,,,,,26.97,2.15,3.23,79.57,,
25017368101,1990,5568,2017,28.41,7.91,27.18,38.26,32.78,2.08,1,1.44,2.33,1.34,1.49,1.2,1.59,2.38,5.81,14.25,16.24,14.05,13.21,21.65,97895,2.39,2.18,2133,63.31,36.69,5.44,323502,0,0.41,1700,29.46,25.6,19.29,2.71,54.68,,,,,,,,,46.56,1.08,1.76,96.76,,
25017368102,1990,3730,1285,33.06,7.02,21.58,24.08,22.14,1.88,1.26,1.18,0.86,1.41,3.07,4.56,2.99,0.86,6.69,8.58,20.61,14.24,11.88,19.91,94284,2.88,3.78,1332,82.41,17.59,3.53,313164,0,2.65,1390,34.95,26.9,21.1,2.86,64.26,,,,,,,,,35.33,5.75,9.73,82.3,,
25017368200,1990,4141,1430,35.28,8.55,28.54,29.16,24.51,2.38,3.57,3.22,2.24,3.64,3.71,2.87,3.08,4.48,5.67,11.9,15.61,14.35,10.57,12.81,78948,6.67,6.44,1463,70.21,29.79,2.26,344177,13.62,13.38,1109,22.54,22.200001,15.96,7.81,69.42,,,,,,,,,28.32,6.34,10.56,56.34,,
25017368300,1990,4160,1845,23.08,8.04,31.88,32.15,26.67,3.19,5.53,4.99,2.5,2.06,3.57,3.04,4.44,5.31,7.58,16.63,17.82,9.8,6.88,6.61,66220,8.46,7.04,1932,27.97,72.03,4.5,320828,4.44,6.77,1185,35.36,24.5,9.97,0,51.16,,,,,,,,,56.21,7.67,12.94,67.49,,
25017368400,1990,8306,2490,17.24,4.81,42.93,31.24,35.57,4.24,3.26,3.26,2.74,2.42,3.34,3.61,5.15,5.6,7.97,12.3,16.15,10.24,7.5,12.26,69305,8.85,5.04,2609,40.12,59.88,4.56,336157,3.42,5.97,1299,37.29,24.9,15.16,5.71,36.62,,,,,,,,,53.93,7.71,13.01,69.01,,
25017368500,1990,2635,1268,16.4,6.54,23.14,22.29,20.57,7.66,6.64,6.57,5.25,2.85,3.5,5.4,7.3,7.67,10.43,14.38,11.53,5.4,3.14,2.26,48220,12.87,10.8,1363,10.52,89.48,5.14,295519,7.69,10.98,1025,36.04,26.6,0,30.19,41.69,,,,,,,,,61.18,11.58,19.45,50.3,,
25017368600,1990,5364,2252,25.39,9.65,26.55,29.49,26.02,4.21,3.69,3.74,3.79,4.45,5.19,3.79,4.12,5.89,7.3,13.01,17.88,8.52,5.24,9.08,63725,7.13,7.25,2379,23.48,76.52,6.39,344712,3.58,5.93,1230,37.91,24.9,17.46,3.97,48.26,,,,,,,,,57.61,7.22,12.09,70.6,,
25017368700,1990,2387,922,28.27,7.75,15.85,15.09,10.95,3.17,4.8,4.15,2.4,3.72,4.49,4.38,3.06,6.23,10.71,9.29,20,10.16,7.32,6.01,65314,7.28,5.46,1009,26.25,73.75,7.14,277338,4.49,7.38,1153,33.29,24.700001,16.81,0,48.55,,,,,,,,,47.6,8.97,15.05,62.66,,
25017368800,1990,4749,1946,26.72,9.04,18.4,25.73,16.08,4.41,5.3,4.83,3.58,4.42,4,4.21,4.78,4.15,9.92,12.05,17.91,7.89,4.1,8.52,60332,7.78,5.71,2011,34.85,65.15,3.98,333127,12.29,12.85,1078,32.45,24.4,17.32,5.15,53.95,,,,,,,,,50.75,7.47,12.53,53.33,,
25017368901,1990,6839,1681,17.4,9.82,31.79,32.96,39.21,2.7,1.22,1.65,2.94,2.15,1.35,2.58,2.58,3.38,8.96,9.52,18.35,12.83,11.11,18.6,90470,3.46,3.13,1762,68.05,31.95,4.6,394975,1.49,3.17,1462,27,23.5,18.89,7.07,38.73,,,,,,,,,46.11,4.66,7.82,78.77,,
25017368902,1990,2921,1428,20.93,7.69,30.77,29.9,27.58,3.9,3.19,3.4,3.41,2.83,5.18,5.88,5.1,4.11,8.16,15.25,15.82,10,5.96,7.8,65185,7.71,3.9,1501,20.98,79.02,6.33,406204,2.25,3.69,1390,44.64,28.700001,15.98,2.06,50.09,,,,,,,,,47.72,4.5,7.65,81.91,,
25017369000,1990,1327,219,8.09,7.58,26.52,47.22,20.83,5.66,1.62,1.21,0,0.81,2.42,4.04,5.26,3.64,8.1,23.08,10.93,12.96,10.12,9.72,68773,9.52,0,246,58.09,41.91,2.03,332948,0,1.98,1506,22.77,25.799999,35.9,0,49.96,,,,,,,,,59.75,3.96,7.92,86.14,,
25017369100,1990,5751,1945,28.2,8.75,31.22,36.04,24.82,2.68,1.44,1.96,2.95,1.29,3.46,5.63,4.24,3.72,6.67,10.29,13.86,12.77,10.24,18.77,85715,4.9,4.4,1983,77.69,22.31,1.92,348277,1.15,2.3,1337,42.4,27.799999,13.78,6.37,76.6,,,,,,,,,30.8,3,5.3,86.64,,
25017370101,1990,6898,2834,27.08,11.24,29.76,39.05,33.7,2.6,4.02,3.8,2.84,2.85,2.85,2.56,2.91,3.98,5.73,9.42,18.17,15.29,11.84,11.13,84637,4.27,3.34,2922,54.73,45.27,3.01,326710,9.66,9.43,1429,24.32,22.5,15.46,7.15,64.97,,,,,,,,,42.09,4.29,7.25,66.33,,
25017370102,1990,6496,2921,22.46,8.37,32.05,40.13,34.96,3.67,6,5.66,4.16,3.16,2.78,4.64,4.22,3.53,5.07,9.88,16.68,11.74,7.1,11.81,70359,8.37,6.76,3016,37.69,62.31,3.15,329205,7.38,7.27,1419,33.56,23.799999,8.26,12.95,58.13,,,,,,,,,47.11,3.42,5.73,75.59,,
25017370200,1990,8368,3426,25.02,10.06,41.47,54,52.76,2.69,2.15,2.3,2.57,2.18,1.83,1.83,2.45,2.45,5.59,7.63,18.06,15.08,10.17,23,97149,4.5,3.72,3536,55.43,44.57,3.11,420285,0.85,1.83,1574,25.08,22.700001,9.81,5.75,60.81,,,,,,,,,41.69,2.69,4.58,86.64,,
25017370300,1990,6096,2725,22.06,6.86,33.31,39.78,36.94,4.92,4.73,4.66,3.96,3.68,4.04,4.11,3.2,2.68,8.41,11.09,12.96,12.16,7.71,11.72,67488,7.47,6.5,2917,37.21,62.79,6.58,326710,7.07,7.42,1356,39.98,26.799999,15.44,7.35,45.88,,,,,,,,,57.07,4.44,7.42,70.19,,
25017370400,1990,5426,2284,17.73,9.54,34.55,47.01,46.6,1.82,1.52,2.08,4.73,4.73,1.65,2.7,2.83,2.87,10.85,10.94,20.31,12.11,8.2,12.5,78884,3.88,4.21,2357,41.2,58.8,3.1,343108,0.67,3.13,1460,30.23,22.700001,19.34,7.82,52.06,,,,,,,,,50.09,6.03,10.05,77.51,,
25017373100,1990,5003,1988,20.53,6.88,37.6,55.16,55.19,3.3,1.7,1.7,1.5,1.15,1.55,3.45,4.4,3,6.15,9.51,19.77,13.51,11.26,17.97,89942,5.25,2.55,2063,45.12,54.88,3.64,406204,1.19,2.38,1556,23.28,23,22.43,4.58,48.99,,,,,,,,,53.12,3.39,5.68,86.43,,
25017373200,1990,4482,1844,26.75,9.41,28.12,32.64,29.7,3.42,4.95,5.49,5.98,3.37,3.32,2.39,2.94,3.27,7.07,5.44,16.91,14.14,8.59,12.72,77321,7.95,6.04,1909,43,57,3.4,339365,5.42,6.57,1358,35.68,24.799999,16.4,16.4,62.87,,,,,,,,,44.04,5.52,9.23,68.22,,
25017373300,1990,2908,1240,24.17,13.09,35.21,44.7,48.98,5.1,4.08,3.92,2.4,0.64,0.56,2.39,3.35,1.84,3.83,8.62,20.03,12.61,11.81,18.75,90412,3.72,3.43,1268,55.73,44.27,2.21,428306,7.1,8.2,1365,31.32,23,21.9,9.5,59.9,,,,,,,,,45.8,6.19,10.38,67.03,,
25017373400,1990,3261,1274,28.33,6.82,45.2,50.22,65.59,2.44,1.58,1.42,0.86,1.41,2.52,1.89,2.21,2.76,6.77,10.39,13.54,10.08,12.05,30.24,108496,3.29,2.13,1301,49.29,50.71,2.08,516177,1.55,2.17,1695,34.82,24.6,17.86,3.57,52.29,,,,,,,,,51.1,2.32,3.72,87.31,,
25017373500,1990,6409,1865,27.8,10.02,50.05,58.96,72.21,3.01,0.22,0.55,1.42,1.37,1.59,0.76,0.8200001,1.53,2.89,5.8,8.42,10.33,10.66,50.74,150347,4.85,1.64,1916,83.59,16.41,2.66,696554,0.65,0.98,1763,17,21.700001,18.01,3.29,58.15,,,,,,,,,37.05,1.31,2.29,89.22,,
25017373600,1990,6068,1324,13.68,7.46,52.61,45.66,65.87,3.54,3.16,3.08,2.47,1.47,0.54,1.31,2.47,2.08,4.62,5.39,11.63,6.55,6.01,45.69,131401,10.13,1.39,1456,72.51,27.49,9.07,845204,4.87,5.16,1784,42.69,29.299999,12.67,5.73,42.02,,,,,,,,,33.99,3.15,5.16,71.35,,
25017373700,1990,3947,1333,34.33,11.51,49.78,64.88,74.64,1.94,1.04,0.89,0.6,0.82,0.9,1.34,1.27,1.05,2.61,5,6.05,11.2,11.35,53.85,155255,3.42,1.87,1363,88,12,2.2,607435,0,1.25,1784,51.24,30.700001,11.12,2.4,74.54,,,,,,,,,26.33,2.5,5,81.25,,
25017373800,1990,5164,1945,29.65,8.39,48.01,58.36,62.78,3.06,3.12,2.7,1.14,1.51,2.13,2.03,1.92,1.66,6.7,8.05,13.45,12.31,8.31,31.9,102758,6.57,2.7,1996,63.03,36.97,2.56,502809,3.62,4.03,1643,49.66,31,20,4.28,65.31,,,,,,,,,36.91,2.64,4.45,80.81,,
25017373900,1990,5840,2279,26.49,13.71,38.37,55.63,55.61,1.4,2.24,2.15,1.71,1.27,0.75,1.28,1.71,1.89,2.99,6.01,12.86,8.43,7.64,47.59,141450,2.78,2.72,2413,88.81,11.19,5.55,623655,3.53,3.92,1784,41.18,29.700001,18.36,1.86,69.89,,,,,,,,,32.64,2.35,3.92,80.39,,
25017374000,1990,4882,1673,24.21,8.9,39.08,48.79,50.59,2.64,3,2.65,1.64,1.88,2.17,1.82,1.88,1.47,2.29,6.64,13.27,9.92,9.98,38.81,120717,2.22,3.64,1767,87.81,12.19,5.32,440426,26.47,21.57,529,55.89,32.900002,16.41,5.13,63.39,,,,,,,,,27.73,1.47,2.94,40.2,,
25017374100,1990,3944,1593,26.57,10.45,37.36,46.37,47.43,1.68,4.42,4.17,2.73,1.62,2.37,2.86,1.87,3.42,6.21,8.95,19.2,12.37,9.45,18.65,83203,4.57,2.49,1690,59.76,40.24,5.74,397827,7.02,7.02,1618,43.99,27.299999,16.8,5.23,54.23,,,,,,,,,47.77,3.43,5.93,75.66,,
25017374200,1990,4323,1579,28.61,8.6,51.78,61.02,66.97,0.76,0.38,0.57,1.15,1.15,1.92,2.62,3.19,2.43,3.96,8.24,13.67,10.61,8.5,40.77,121412,2.73,2.62,1611,73.84,26.16,1.99,525089,2.42,3.63,1741,29.06,23.299999,16.11,3.01,57.19,,,,,,,,,41.1,3.87,6.3,81.6,,
25017374300,1990,3517,1194,34.97,6.82,55.73,72.34,77.9,1.62,0.34,0.77,1.62,1.28,1.62,0.34,0.51,0.43,4.09,4.34,6.12,7.31,7.74,61.82,183929,2.65,1.28,1214,93.55,6.45,1.65,673561,0,2.6,1492,68.83,35.099998,19.56,4.49,72.46,,,,,,,,,26.05,5.19,9.09,84.42,,
25017374400,1990,5328,1861,30.97,11.46,54.62,68.42,72.49,3.8,3.04,2.46,0.9,2.29,1.82,0.7399999,1.76,1.76,1.28,2.14,8.38,6.83,8.12,54.62,161849,3.74,2.51,1917,83.07,16.93,2.92,796189,12.38,11.75,1192,36.83,27.9,20.45,3.86,67.7,,,,,,,,,27.4,4.76,7.94,56.51,,
25017374500,1990,4453,1574,27.67,12.44,41.04,47.28,49.45,1.41,1.54,1.6,1.67,1.48,1.86,2.7,4.3,3.02,4.88,8.02,12.26,15.21,10.4,29.59,107141,2.8,2.82,1609,63.28,36.72,2.18,419572,0.87,1.56,1545,37.89,24.700001,15.29,3.82,62.29,,,,,,,,,37.8,1.9,3.11,87.72,,
25017374600,1990,4932,1847,29.95,9.69,29.3,36.43,38.03,1.41,1.52,1.79,2.6,2.98,3.31,2.55,2.61,3.1,7.61,8.15,13.64,16.68,11.47,20.49,96305,3.69,4.46,1873,68.16,31.84,1.39,381607,2.55,3.06,1699,33.16,23.4,22.7,2.62,63.09,,,,,,,,,39.03,2.38,3.91,86.39,,
25017374700,1990,4250,1735,27.67,8.85,33,45.94,48.5,2.95,3.18,2.89,1.73,1.33,2.43,2.95,2.83,2.49,4.11,8.96,14.91,10.87,10.98,27.51,98742,4.33,3.01,1794,57.75,42.25,3.29,414047,5.23,4.68,1576,37.88,25.799999,14.34,8.43,61.31,,,,,,,,,41.38,1.1,1.93,86.09,,
25017374800,1990,3874,1307,25.61,11.59,44.18,52.54,54.11,1.95,3.19,2.56,0.54,1.56,2.26,2.18,2.34,2.1,4.51,6.45,14.15,14.39,9.8,31.88,108032,3.06,4.04,1337,64.19,35.81,2.24,484273,5.77,5.77,1549,34.83,23.6,27.85,3.03,57.3,,,,,,,,,44.15,3.21,5.34,76.92,,
25017382100,1990,4563,1645,31.66,11.46,29.01,39.53,37.89,0.84,1.2,1.56,2.7,2.64,2.16,1.5,1.62,3.59,5.5,10.35,13.76,12.14,12.56,27.81,103241,0.96,3.35,1674,93.19,6.81,1.79,323145,0,1.79,1763,36.61,24,25.28,3,76.53,,,,,,,,,27.86,3.57,6.25,82.14,,
25017382200,1990,4949,1843,32.03,9.47,29.46,38.15,36.91,1,2.54,2.32,1.77,2.86,2.81,1.93,2.37,2.48,6.77,11.34,18.22,15.08,11.56,16.95,91208,2.62,4.95,1927,74.55,25.45,4.36,332770,1.49,3.84,1319,29.21,24.4,17.86,4.97,67.41,,,,,,,,,32.34,5.97,10.02,72.07,,
25017382300,1990,5071,1766,32.22,10.22,37.13,49.26,51.68,1.09,1.65,1.87,2.22,1.59,1.48,1.48,1.65,4.27,6.94,5.97,15.07,11.66,8.59,34.64,108449,2.42,2.22,1844,75.99,24.01,4.23,425454,6.72,7.46,1331,31.59,23.5,21.37,1.84,62.58,,,,,,,,,42.3,5.22,8.71,67.16,,
25017382400,1990,4098,1621,30.87,5.05,29.58,38.1,28.84,4.24,5.99,5.62,3.49,2.06,2.49,3.49,3.06,3.12,6.3,7.49,17.28,12.29,6.49,16.47,77020,6,6.92,1718,66.19,33.81,5.65,318511,27.55,22.81,528,18.25,22,20.23,6.85,65.19,,,,,,,,,37.94,2.55,4.38,40.15,,
25017382500,1990,3996,1598,29.43,9.21,31.83,33.28,35.51,3.43,2.6,2.6,2.6,2.73,3.11,3.05,2.6,2.92,6.09,10.08,22,12.81,9.45,14.01,83571,4.86,6.09,1680,61.7,38.3,4.88,322076,1.47,2.61,1415,38.56,26.700001,14.57,5.66,62.45,,,,,,,,,43.24,3.27,5.39,82.52,,
25017382600,1990,7793,3517,21.53,11,31.66,45.36,52.65,1.95,2.94,2.89,2.15,1.76,2.18,1.56,1.61,2.69,6.91,12.18,16.32,17.45,11.42,16.01,94334,2.87,3,3789,47.85,52.15,7.13,328671,5.4,4.96,1494,28.39,23.700001,16.53,3.83,45.88,,,,,,,,,60.58,1.74,2.94,84.96,,
25017383100,1990,7871,2894,28.86,7.48,24.23,21.91,14.42,5.59,6.66,6.28,5.01,5.73,6.86,5.93,3.88,5.39,10.5,8.85,12.94,7.65,4.5,4.32,49041,14.37,15.03,3084,21.3,78.7,6.52,248820,12.25,14.29,954,40.03,26.9,28.79,4.17,38.23,,,,,,,,,65.86,10.88,18.31,43.03,,
25017383200,1990,5273,2020,26.59,6.6,25.06,23.28,21.89,5.57,3.84,4.04,3.8,3,4.09,4.73,5.02,4.48,9.45,11.87,15.16,10.83,6.55,7.58,61681,12.11,4.92,2138,40.74,59.26,5.52,269852,5.37,7.47,1175,38.42,24.9,22.65,7.55,45.63,,,,,,,,,55.1,7.55,12.67,64.6,,
25017383300,1990,2788,1036,18.11,4.45,32.39,34.62,24.92,4.88,3.16,3.45,3.45,3.35,5.08,3.16,3.73,4.79,8.53,12.07,16.67,11.78,6.99,8.91,69062,11.6,5.94,1085,50,50,4.52,314768,4.25,9.07,1032,42.27,26.799999,15.05,5.38,51.25,,,,,,,,,48.17,13.32,22.39,48.84,,
25017383400,1990,4724,2031,24.89,6.1,22.67,28.01,27.36,2.94,3.09,3.53,4.46,3.19,2.9,4.76,5.05,4.71,8.15,10.41,22.93,11.24,7.66,4.96,69836,6.07,5.06,2161,44.26,55.74,5.6,260049,5.28,7.12,1148,39.58,26.9,22.69,6.9,45.02,,,,,,,,,60.24,6.95,11.61,66.67,,
25017383500,1990,8325,3476,20.74,8.09,27.34,35.11,34.86,5.13,7.76,7.04,4.38,3.77,3.69,3.51,3.05,3.32,4.73,12.98,13.73,7.76,6.4,12.72,64492,6.49,5.48,3632,27.65,72.35,4.3,318868,13.98,12.39,1251,35.38,24.799999,24.03,6.52,45.93,,,,,,,,,56.07,3.31,5.54,63.23,,
25017383600,1990,5519,2211,26.54,9.62,26.76,36.14,33.18,3.56,2.12,2.25,2.07,1.04,2.3,3.02,2.03,2.48,7.4,11.82,13.98,15.2,11.68,19.03,93404,4.28,5.86,2339,61.33,38.67,5.47,311738,5.03,5.15,1323,33.1,26,12.76,1.78,62.9,,,,,,,,,44.05,2.81,4.68,80.35,,
25017383700,1990,5173,1987,30.18,7.19,31.01,43.37,39.43,2.18,2.49,2.49,1.98,1.83,2.63,1.67,2.94,3.35,6.29,7.71,15.77,14.81,11.16,22.82,97977,2.61,7.35,2061,74.03,25.97,3.59,310847,5.62,6.01,1362,41.28,27.5,16.12,2.84,70.8,,,,,,,,,37.24,3.88,6.4,77.13,,
25017383800,1990,5631,2017,32.11,4.9,30.61,42.81,43.21,1.98,1.83,1.78,1.58,1.19,1.09,2.77,2.97,3.77,5.45,8.52,18.58,12.93,10.7,24.83,97684,3.25,4.06,2065,82.8,17.2,2.32,313164,3.75,4.32,1310,34.29,25.9,19.57,2.82,62.49,,,,,,,,,40.31,3.17,5.48,82.71,,
