tractid90,totalpop,households,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_5K,pctinc_5K_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_55K,pctinc_55K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
"25025070200",3066,1116,33.02,11.65,14.21,13.15,12.35,12.08,11.99,11.26,10.35,5.9,4.17,5.54,4.81,4.99,3,2.18,1.54,6.54,6.45,3.27,1.45,4.63,23125,28.53,20.35,1230,5.24,94.76,10.08,409947,20.8,20.99,10.88,18.23,26.34,786,46.85,31.1,0,0,55.3,47.2
"25025070300",3337,1741,6.61,15.51,33.97,48.69,55.65,2.58,3.14,7.56,6.49,3.08,3.98,2.85,3.08,3.75,2.68,2.07,2.97,7.84,9.57,9.52,7.61,21.28,71578,16.3,9.41,2065,34.65,65.35,14.33,635240,9.43,9.78,5.54,9.34,65.4,1278,52.77,30.9,13.39,0,35.24,67.72
"25025070400",1795,557,34.64,10.09,15.84,6.83,2.35,7.04,7.59,12.78,12.22,8.71,5.74,6.67,7.41,5.74,5.93,4.44,.93,7.59,4.07,3.52,0,0,26788,30.28,32.04,577,0,100,8.32,0,23.82,25.52,16.07,27.03,7.56,610,34.97,25.299999,,,69.08,41.97
"25025070500",5810,2547,25.08,12.3,33.29,39,40.05,4.08,4.52,7.86,6.6,2.36,3.69,4.56,3.53,5.18,4.75,5.58,5.42,8.92,9.98,7.34,4.28,11.35,52893,20.32,17.44,2798,22.22,77.78,8.97,538992,16.41,16,7.17,12.06,47.85,957,39.37,26.1,31.71,17.07,41.32,61.29
"25025070600",2400,1280,14.78,12.33,38.09,57.38,65.06,.8,.96,2.3,2.15,1.52,1.44,2.55,3.34,2.39,2.39,3.03,3.58,10.51,15.37,10.11,9.71,28.11,95755,4.56,3.58,1421,35.44,64.56,8.66,751095,2.76,4.44,5.4,9.11,77.34,1527,34.54,26,14.71,25,36.91,63.64
"25025070700",2146,1074,23.16,15.04,33.33,42.44,51.28,2.3,2.67,5.05,4.96,3.49,1.56,4.5,4.96,4.23,6.07,4.5,2.67,6.07,10.39,9.38,8.09,19.03,65019,11.88,4.14,1163,31.25,68.75,9.2,813300,8.95,10.74,8.82,14.74,56.89,1134,30.16,25.700001,43.84,0,38.49,65.06
"25025070800",3274,1816,14.45,11.64,35.62,55.28,54,2.43,2.84,5.9,5.67,4.92,4.63,4.46,5.09,5.38,4.58,3.01,4.28,7.87,12.56,6.54,4.86,15.05,56825,14.55,10.47,2051,18.49,81.51,13.51,514929,11.41,12.79,8.85,14.8,51.52,1048,44.05,28.4,0,21.43,44.32,63.64
"25025070900",2840,1386,23.42,10.24,32.54,41.21,42.7,4.4,4.69,7.19,6.68,3.67,1.54,4.25,5.13,5.8,4.25,3.59,2.93,8.65,11.66,11.36,7.99,6.23,53578,20.11,14.66,1527,18.84,81.16,12.05,407452,16.15,15.23,6.06,10.18,52.39,1048,33.76,26.1,30,0,49.54,56.07
"25025071000",1807,928,7.67,8.63,39.32,44.06,45.3,5.4,5.49,6.05,5.3,2.42,3.26,5.12,4,4.1,4.75,5.03,9.87,10.34,13.04,4.56,3.63,7.91,54208,21.59,7.17,1142,17.16,82.84,13.75,295162,2.82,7.23,11.64,19.61,58.58,1144,43.99,28.5,24.14,0,30.09,61.01
"25025071100",742,372,12.74,3.12,49.61,50.39,27.72,13.46,14.84,25.27,19.5,0,1.92,5.22,2.2,1.65,1.37,1.37,.55,0,9.07,0,0,3.57,12320,50.71,44.78,433,2.6,97.4,11.32,0,35.83,31.02,6.68,10.96,15.24,332,48.66,29.9,,,36.98,59.9
"25025071200",1683,529,30.03,1.62,25.29,21.11,22.18,7.33,9.27,23.71,19.18,2.59,1.94,4.52,2.58,6.04,4.31,.43,.65,6.9,6.03,3.45,1.29,0,15711,58.25,37.28,780,1.65,98.35,30.13,0,36.94,30.78,4.1,7.09,17.16,324,30.6,27.1,,,43.43,53.76
"25025080100",314,140,41.64,0,18.31,12.68,7.14,6.78,6.78,5.08,5.93,9.32,13.55,19.49,9.32,0,0,0,5.93,9.32,5.93,3.39,0,0,30743,25.27,63.56,134,25,75,7.46,0,17.2,18.28,11.83,19.35,31.18,665,63.44,33,,,56.94,61.3
"25025080200",1585,442,39.03,9.06,18.3,18.84,6.94,5.05,5.93,12.08,10.55,3.74,1.76,1.54,3.74,6.38,3.08,4.18,7.91,8.57,10.77,7.47,4.18,3.08,43948,30.99,34.73,509,29.21,70.79,12.57,245077,11,12.62,9.71,16.18,47.9,1000,45.96,30,13.33,0,59.51,53.94
"25025080300",2403,738,45.39,15.89,26.76,16.22,6.29,5.61,6.42,12.7,12.03,7.49,3.61,5.35,2.94,5.88,6.42,6.02,4.01,6.15,11.36,2.41,1.34,0,31312,48.14,29.14,822,12.76,87.24,18,237056,23.67,23.16,10.46,17.5,21.27,583,29.67,25,0,33.33,51.62,46.29
"25025080400",1578,532,50.03,5.02,36.36,9.09,3.73,14.12,14.51,17.41,15.09,6,2.7,2.71,2.9,3.28,2.71,2.51,1.93,8.9,2.13,1.93,1.55,0,14789,54.96,42.75,682,3.61,96.39,10.7,0,36.8,32.88,9.03,15.33,5.96,401,45.66,29.799999,,,69.68,40.4
"25025080500",4484,1835,42.62,5.26,43.93,20.25,7.51,12.83,12.72,12,10.61,5.05,4.11,4.61,5.44,5.66,2.66,1.89,3.89,10.77,5.33,1.83,.61,0,21678,35.28,31.48,1956,4.86,95.14,6.34,189823,26.39,25.58,11.28,18.98,16.49,576,40.16,27.799999,0,22.08,62.93,38.26
"25025080600",1111,372,39.36,6.69,29.58,25,6.42,15.26,15.26,16.35,14.44,4.9,0,1.09,4.08,2.45,1.09,.54,0,9.81,7.9,4.9,1.91,0,14547,47.76,41.14,463,0,100,21.38,0,29.12,26.92,9.07,15.11,19.78,508,38.74,28.6,,,63.8,50.82
"25025080700",590,323,28.72,16.67,47.53,21.6,8.68,5.4,7.3,21.9,20,12.38,6.35,.95,6.35,5.08,0,0,3.49,3.49,5.08,0,.32,1.9,18056,29.56,46.03,349,6.29,93.71,4.3,0,34.82,30.67,7.35,12.46,14.7,355,30.35,27.799999,,,48.94,55.39
"25025080800",2736,884,48.64,16.23,42.35,22.41,12.06,7.35,7.91,12.02,10.57,4.79,5.12,7.69,7.58,4.01,3.12,6.24,3.34,4.12,8.91,3.01,1.45,2.56,31288,42,42.54,1048,.63,99.37,8.49,0,33.47,28.86,5.88,9.86,21.93,474,27.29,24.6,,,43.73,69.76
"25025080900",3351,1474,14.83,8.74,40.8,28.13,33.42,5.08,4.94,3.79,4.36,5.44,4.58,4.79,3.58,5.08,4.44,4.22,7.44,10.52,16.45,7.65,3.86,3.79,54589,25.06,4.79,1489,13.37,86.63,6.04,284468,3.3,6.6,9.32,15.68,64.11,1241,50.74,31.6,0,0,28.47,66.69
"25025081000",4891,2151,25.48,10.33,50.48,30.34,31.94,5.29,5.93,10.85,9.79,5.47,4.4,6.31,8.12,6.08,3.71,3.89,3.89,8.44,8.95,5.15,2.18,1.58,36242,24.02,16.83,2300,8.69,91.31,6.48,560202,13.8,13.75,6.8,11.4,53.63,1078,52.2,32.400002,0,0,42.89,50.91
"25025081100",3663,1271,17.14,5.78,40.95,35.45,27.29,4.16,4.32,6.01,5.78,4.55,4.63,5.01,3.85,6.17,7.72,3.7,6.48,12.41,12.18,6.4,2.93,3.62,48525,12.79,10.49,1429,24.47,75.53,11.06,228145,6.98,8.33,6.67,11.15,67.08,1200,48.85,29.799999,26.87,0,26.93,73.49001
"25025081200",3412,980,43.55,7.29,40.21,17.61,11.53,4.71,5.11,8.22,7.82,5.51,5.11,6.22,3.8,3.9,7.22,5.41,1.3,9.92,10.52,8.22,4.61,2.71,44732,27.08,41.98,1432,15.92,84.08,31.56,271635,37.91,31.17,3.31,5.52,22.09,422,27.12,19.200001,46.05,0,48.73,49.9
"25025081300",4427,1670,37.02,14.69,32.48,18.93,4.99,10.69,11.17,15.12,12.67,4.06,4.06,3.52,3.22,3.76,3.82,3.41,3.52,11.83,5.2,1.19,.36,2.33,20502,41.27,37.99,1858,10.54,89.46,10.12,218876,30.25,27.71,9.17,15.33,17.54,440,38.02,27.5,32.32,20.2,53.83,50.72
"25025081400",1818,687,36.12,7.28,43.7,32.72,30.59,1.11,2.23,10.85,10.29,7.09,3.62,3.89,4.73,3.34,3.2,2.09,1.53,15.99,9.04,7.37,5.29,8.21,49315,28.9,21.28,831,37.73,62.27,14.2,216203,16.7,14.9,3.84,6.55,57.79,1196,46.28,26.700001,37.82,0,41.06,65.08
"25025081500",2399,766,38.19,4.97,31.64,21.27,15.36,5.42,6.22,11.64,10.32,4.24,4.24,6.35,4.23,4.63,2.64,3.44,5.42,5.95,6.75,3.7,4.1,10.58,36879,26.25,22.49,843,22.41,77.59,9.49,217807,14.36,17.23,13.85,23.31,30.74,791,44.76,25.299999,18,0,57,48.36
"25025081600",743,275,41.67,22.26,22.87,23.17,8.1,2.42,2.82,6.46,6.05,2.83,4.44,11.7,7.26,4.04,4.04,5.65,1.61,16.13,6.05,7.66,5.24,5.24,47437,19.03,4.44,301,30.16,69.84,16.28,155958,2.27,5.68,7.95,13.64,58.52,1251,30.11,24.799999,35.29,0,63.91,45.63
"25025081700",3713,1398,40.29,11.51,36.33,26.4,13.82,7.73,7.8,8.33,7.57,5.23,6.97,6.52,2.05,2.57,2.27,4.85,6.21,8.86,9.24,7.58,2.73,3.64,34889,24.7,24.92,1576,23.72,76.28,9.58,195349,16.76,17.33,9.75,16.29,38.64,907,36.93,25.799999,18.47,6.31,58.73,37.68
"25025081800",2914,1164,33.05,10.76,36.71,24.95,15.47,2.99,3.96,11.4,10.75,5.82,.65,2.59,6.31,5.41,6.55,4.53,6.31,9.05,9.86,4.61,5.66,3.48,44889,22.46,27.24,1322,23.91,76.09,11.42,213173,16.61,17.51,10.44,17.51,34.79,743,41.53,27.4,43.64,0,51.56,52.86
"25025081900",3292,1187,38.18,8.54,35.41,23.56,19.61,1.58,2.34,8.26,7.34,4.18,5.34,5.92,5.26,4.33,4.17,4.59,4.09,8.26,11.59,11.34,6.67,4.67,51147,19.63,16.01,1334,24.54,75.46,13.57,275734,11.7,14.72,12.63,21.32,39.63,897,46,28.200001,39.29,0,51.64,41.37
"25025082000",3188,1163,30.47,10.86,36.98,34.42,9.41,5.37,5.28,5.28,5.09,3.94,5.95,9.21,3.56,2.4,5.76,5.18,3.07,13.34,10.65,8.35,4.22,3.65,48846,24.66,17.95,1258,33.54,66.46,9.46,259514,12.02,15.32,13.47,22.72,36.46,962,41.75,28.200001,44.12,11.76,53.19,38.89
"25025082100",4628,1828,38.01,11.24,32.74,13.23,9.190001,8.79,9.01,10.56,8.889999,4.17,7.96,8.07,5.17,5.17,3.33,2.5,.72,8.79,8.95,2.5,1.78,3.67,30258,31.38,26.81,2197,8.05,91.95,15.7,334196,24.13,23.66,10.92,18.32,21.55,652,43.86,29,0,0,54.05,46.65
"25025090100",4340,1450,37.03,13.39,32.11,20.21,12.51,5.7,5.7,5.63,5.69,5.21,4.33,4.11,4.19,4.12,3.78,3.09,6.38,12.49,12.15,6.45,2.68,8.3,51871,23.59,25.26,1713,26.34,73.66,15.35,374300,14.7,14.98,8.05,13.48,47.19,973,41.29,24.6,20,0,55.86,41.79
"25025090200",2009,664,44.63,5.91,33.76,18.85,5.65,5.21,5.52,7.82,8.13,7.05,8.59,13.5,5.83,1.53,.61,1.84,.61,12.27,8.59,3.83,4.75,4.14,32169,25.61,26.23,829,15.38,84.62,16.89,245077,24.7,21.96,5.66,9.43,36.54,667,36.54,23.799999,0,0,43.15,53.41
"25025090300",2962,955,41.65,11.37,38.81,30.78,11.49,6.5,6.6,7.13,7.13,7.66,6.71,3.19,4.69,2.88,.75,.96,5.43,12.57,8.84,9.48,5.96,3.62,40382,33.13,24.49,1091,18.39,81.61,14.76,245077,16.73,17.13,9.35,15.81,38.74,884,37.15,23.799999,26.67,0,63.04,51.39
"25025090400",1324,450,41.25,9.13,45.21,26.48,19.58,5.49,5.99,10.23,9.73,8.98,10.47,5.73,2.99,3.49,4.24,2.74,.75,3.99,7.73,11.22,3.74,2.99,29589,31.06,28.93,527,34.25,65.75,16.89,324571,13.54,17.01,14.93,25,29.86,720,51.74,33.799999,0,0,46.63,45.66
"25025090500",1511,409,52.21,15.84,21.04,10.87,2.71,2.49,3.6,11.91,9.690001,1.11,.83,2.5,4.43,3.32,4.99,6.09,5.82,6.37,21.88,6.37,4.71,3.32,53278,27.49,36.57,437,30.95,69.05,10.53,207291,7.78,11.11,11.48,19.63,50,1005,49.63,29.9,23.33,26.67,49.42,55.5
"25025090600",1999,552,44.09,6.16,24.36,5.16,4.67,6.86,6.86,7.03,6.69,3.6,1.37,3.61,6.69,9.440001,6.87,5.83,7.38,8.75,8.58,7.38,1.03,2.23,43920,33.56,22.3,645,27.32,72.68,9.77,226006,6.86,12.06,15.37,26,39.72,813,46.81,26.200001,12.7,38.1,45.52,57.74
"25025090700",3124,1311,30.09,10.96,18.38,18.46,11.6,3.12,4.04,11.21,10.14,6.1,5.03,4.34,3.2,3.2,5.56,4.57,4.19,6.17,15.78,6.4,3.66,3.35,44576,13.99,17.61,1402,27.15,72.85,6.49,301222,14.14,14.14,7.02,11.83,48.48,973,42.72,29,37.88,19.7,58.58,45.62
"25025090800",1068,441,29.61,13.27,25.45,21.82,12.22,1.1,1.55,5.3,3.97,.22,4.41,8.17,4.86,3.75,5.96,7.73,6.18,17,10.82,8.39,7.28,3.31,57206,11.35,14.57,531,42.29,57.71,9.6,253633,2.17,7.22,12.64,21.3,56.68,1085,33.93,26.9,0,11.11,47.18,56.66
"25025090900",2112,848,30.36,10.56,34.81,35.37,28.59,2.94,3.88,11.06,9.18,2.47,2.82,4.94,4.59,2.59,5.76,2.94,1.41,10.59,21.06,8.71,3.53,1.76,49894,32.5,26.59,1353,0,100,36.36,0,9.76,10.36,6.14,10.36,63.37,1383,34.1,26.700001,,,15.05,100
"25025091000",2811,1179,30.51,8.26,31.36,26.78,22.59,4.31,4.67,7.79,8.43,8.15,4.31,4.95,1.74,2.29,3.3,3.12,3.48,4.77,11.55,10.17,9.07,7.79,49885,14.56,14.48,1232,36.56,63.44,8.52,289637,9.51,11.89,10.07,16.92,51.61,897,41.12,27.1,10.53,7.6,56.83,47.03
"25025091100",4722,1688,34.86,8.52,28.24,23.92,15.59,1.99,2.23,3.92,4.4,5.19,3.08,3.68,5.73,5.31,4.34,3.98,4.1,12.61,17.86,9.41,4.89,7.24,62581,13.82,13.94,1826,35.25,64.75,7.56,276447,3.75,6.68,8.51,14.36,64.41,1198,38.24,24,29.76,0,58.37,46.03
"25025091200",3294,1166,35.85,8.05,28.22,30.53,21.88,3.19,3.54,6.64,6.29,5,4.66,3.19,2.08,2.93,5.43,4.75,4.4,13.72,15.62,7.25,4.14,7.08,57604,18.71,13.55,1272,28.9,71.1,8.33,259336,7.24,10.25,10.49,17.61,53.56,1064,41.02,27.4,5.13,8.97,46.48,45.2
"25025091300",2587,700,41.59,6.52,17.51,14.37,6.75,5.52,5.66,7.4,6.24,4.35,7.11,3.48,3.63,2.03,4.5,5.52,6.53,11.9,11.76,6.53,3.63,4.35,50150,31.57,28.59,696,37.94,62.06,6.47,217272,11.39,13.37,10.15,17.08,47.77,850,53.47,33.200001,25.86,13.79,58.98,44.55
"25025091400",2187,616,33.94,11.54,30.42,28.91,15.16,5.1,4.96,4.08,3.94,2.48,4.08,8.46,4.52,4.37,2.62,6.85,3.79,6.27,18.51,10.64,7,2.19,54091,24.44,14.43,724,33.38,66.62,8.15,243830,10.38,11.51,8.13,13.54,56.66,1191,55.53,32.200001,28.85,7.69,39.96,61.66
"25025091500",4520,1371,39.62,9,27.34,18.4,8.79,5.31,5.6,8.139999,6.61,2.03,4.65,5.16,3.35,3.42,5.16,4.07,3.42,7.99,12.35,9.81,5.96,6.9,50415,25.58,22.53,1542,26.33,73.67,11.09,316372,10.1,10.4,5.74,9.7,62.97,1151,42.87,28.6,14.81,0,44.63,57.33
"25025091600",2752,1049,34.45,9.47,27.7,25.27,19.01,5.92,6.21,8.92,7.76,3.68,4.66,5.33,3.88,3.49,4.17,2.04,2.33,13.77,13.29,8.54,3.01,2.91,44985,20.61,17.46,1145,24.9,75.1,8.12,200518,8.47,10.14,8.22,13.74,58.79,1137,35.43,26.299999,27.78,0,43.75,57.12
"25025091700",3315,913,45.96,11.39,27.9,22.06,15.34,3.17,3.38,5.35,5.57,4.26,1.2,5.46,5.79,4.37,6.33,5.79,6.22,11.57,11.9,9.5,2.29,7.86,54332,23.63,28.71,1010,35.16,64.84,9.9,266466,5.93,6.95,5.42,9.15,72.54,1276,50.17,30.799999,48.1,0,41.49,57.59
"25025091800",3648,977,43.56,9.11,34.55,16.69,10.59,2.64,2.85,4.76,3.91,2.64,7.19,6.55,4.76,5.71,5.28,6.45,5.92,10.15,11.95,6.03,5.5,7.51,52876,17.32,24.52,1021,35.33,64.67,11.85,218163,1.2,3.61,6.19,10.31,79.04,1374,59.8,35.099998,30.61,0,59.3,51.44
"25025091900",4016,1155,43.91,9.95,36.61,8.97,4.72,5.19,5.19,5.11,5.28,4.84,2.77,4.41,5.8,3.63,3.81,6.75,3.46,11.94,11.85,9.69,3.29,7.09,53285,20.14,20.67,1349,29.46,70.54,8.67,285715,8.98,10.01,6.79,11.39,62.72,1219,52.93,34.5,23.13,3.4,51.37,50.08
"25025092000",4964,1425,39.32,15.55,28.02,20.2,17.79,6.84,6.64,5.13,5.2,4.93,4.24,3.97,2.94,2.26,3.83,5,5.82,10.13,14.85,6.5,5.41,6.09,53807,22.11,22.31,1578,35.3,64.7,9.7,268961,4.12,5.31,4.88,8.24,75.38,1310,53.47,35.099998,17.95,17.95,53.04,56
"25025092100",5838,2096,33.16,10.06,22.66,21.14,14.52,3.4,3.68,6.13,5.99,4.62,3.06,3.68,3.58,2.65,4.76,4.91,5.75,7.88,18.3,7.55,5.33,8.77,58269,14.64,14.53,2309,36.83,63.17,9.22,264149,6.19,8.01,7.33,12.24,62.24,1155,44.56,29,17.73,9.93,50.06,51.67
"25025092200",3282,1108,33.01,9.87,32.55,31.96,28.53,1.48,1.95,5.65,5.28,3.34,2.6,3.15,1.39,2.14,3.52,2.32,3.8,9.73,17.05,13.35,7.6,15.57,80877,12.31,12.97,1166,43.98,56.02,8.15,326710,6,8.17,8.17,13.67,62.5,1239,41.83,26.6,14.98,0,57.82,50.04
"25025092300",3344,961,47.81,11.54,33.66,21.82,13.21,1.7,2.56,9.16,8.950001,6.07,2.87,2.34,.43,1.6,4.47,3.83,2.02,18.64,7.35,12.46,7.99,7.56,63883,24.09,26.84,1101,39.38,60.62,9.36,273595,6.12,6.61,4.3,7.27,73.06,1339,48.76,31,39.19,6.08,52.23,42.49
"25025092400",5619,1865,42.39,14.52,31.49,14.38,9.92,8.71,8.82,9.74,8.02,3.6,6.51,4.63,4.74,4.35,5.01,4.84,3.71,8.66,6.46,6.78,3.39,1.99,34885,36.34,27.06,2088,22.04,77.96,10.68,356476,21.39,20.5,8.6,14.51,34.18,711,36.79,26.700001,29.25,0,60.2,50.83
"25025100100",4648,1463,40.6,9.84,33.51,19.81,5.91,9.37,9.43,9.639999,8.56,3.57,3.1,6,3.44,4.11,3.64,3.71,3.84,6.6,9.1,8.15,3.23,4.58,35400,32.82,31.13,1597,21.46,78.54,8.39,231888,18.1,17.93,8.62,14.45,40.38,882,39.86,27,27.27,0,54.2,54.48
"25025100200",2719,792,39.36,13.41,33.16,17.53,9.58,11.73,11.23,6.79,6.55,5.68,6.29,7.78,6.79,3.21,1.97,2.72,3.7,4.07,7.78,6.42,5.8,1.85,31432,42.83,30,921,36.53,63.47,10.53,240087,9.56,9.94,5.35,8.99,65.58,1169,61.76,35.099998,31.31,0,54.78,59.22
"25025100300",3631,1050,42.32,10.61,31.97,19.21,12.9,3.85,4.23,6.73,6.15,3.47,4.04,5.87,4.14,5.67,2.98,1.06,.96,9.04,18.37,9.81,7.21,6.44,61863,19.55,18.46,1103,43.22,56.78,7.71,229570,3.46,5.36,6.4,10.73,70.24,1282,65.75,35.099998,44.12,8.82,62.55,41.95
"25025100400",5259,1677,37.59,13.55,39.1,24.27,20,2.53,2.53,2.52,2.76,3.64,3.59,4,4.82,3.94,5.64,4.29,2.64,12.1,16.8,11.34,7.4,9.4,69500,10.76,14.16,1784,44.36,55.64,6,272348,8.15,8.36,4.61,7.61,70.1,1349,45.66,28.700001,31.6,1.53,62.92,50.63
