tractid90,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,occ_profmanage,pctocc_profmanage,inc_0_5K,inc_5K_10K,inc_50K_55K,inc_55K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,inc_150K_more,pctinc_0_5K,pctinc_5K_10K,pctinc_50K_55K,pctinc_55K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,publicassist,pctpublicassist,units,unitsocc,own,rent,pctown,pctrent,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_750,rent_750_1000,rent_1000_more,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,medianrent,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popupov,poverty,pctpoverty,popu5,sameres,pctsameres,units_newres,pctunits_newres,college,pctcollege,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,incomerent_30_more,pctincomerent_30_more
2.502e+10,2717,892,2470,1006,"37.03",1722,1425,22,293,"1.54","20.56",429,"30.11",7,9,16,53,97,176,152,101,87,"0.79","1.02","1.81","5.99","10.96","19.89","17.18","11.41","9.83",86889,34,"3.84",959,892,798,94,"89.46","10.54",67,"6.99",236522,48,0,3,8,14,23,"0","5.08","13.56","23.73","38.98",870,27.8,430,125,22,"22.28","3.92",2699,68,"2.52",2498,1728,"69.18",294,"7.6225.34",340,"13.076.68",24,24,23,24,17,16,34,24,"1.361.36","1.361.36","1.361.24","1.241.47","1.470.45","0.231.58","1.692.15","1.810.9",20,"033.9"
2.502e+10,8496,2761,7886,3324,"39.12",5075,4373,198,930,"4.53","21.27",1422,"32.52",27,30,54,72,357,532,504,333,334,"0.96","1.06","1.91","2.55","12.66","18.87","17.87","11.81","11.84",88129,55,"1.95",2894,2761,2301,460,"83.34","16.66",133,"4.6",260762,419,18,37,52,86,226,"4.04","8.31","11.69","19.33","50.79",1059,29.3,1583,418,71,"21.34","3.62",8474,256,"3.02",7783,5124,"65.84",1066,"13.2225.39",1259,"19.455.36",57,68,100,81,73,88,56,55,"1.030.99","1.031.38","1.811.74","1.71.17","0.991.6","1.71.42","1.350.64","0.741.21",206,"17.9828.31"
2.502e+10,5432,1905,4303,1505,"28.04",3626,2597,154,473,"5.93","18.21",793,"30.54",19,22,115,87,191,340,222,162,191,"1","1.15","6.03","4.56","10.02","17.83","11.64","8.5","10.02",72617,78,"4.09",1964,1869,1306,563,"69.88","30.12",95,"4.84",263792,534,5,37,77,130,285,"0.89","6.57","13.68","23.09","50.62",1046,27.6,687,218,52,"24.97","5.96",4941,272,"5.5",5001,2403,"48.05",987,"22.230.6",759,"14.896.04",46,52,68,64,91,84,54,99,"1.211.21","1.211.52","1.941.63","1.471.89","2.12.67","2.731.68","1.631.21","1.683.51",236,"13.8528.06"
2.502e+10,686,184,728,338,"46.43",382,183,15,68,"8.2","37.16",22,"12.02",0,0,20,17,23,59,17,10,0,"0","0","10.58","8.99","12.17","31.22","8.99","5.29","0",67379,0,"0",201,201,27,174,"13.43","86.57",0,"0",0,97,0,7,17,28,46,"0","4.02","9.77","16.09","26.44",870,19.4,0,0,0,"NA","NA",728,0,"0",644,94,"14.6",182,"36.3254.23",23,"4.451.57",0,0,0,0,4,10,14,14,"00","00","00","00","02.12","2.123.17","3.174.23","4.233.17",5,"02.87"
2.502e+10,3340,1597,1797,688,"20.6",2244,1179,56,247,"4.75","20.95",212,"17.98",143,154,43,31,132,65,38,28,32,"8.96","9.65","2.69","1.94","8.27","4.07","2.38","1.75","2.01",21274,363,"22.74",1898,1597,81,1516,"5.07","94.93",301,"15.86",0,1516,334,342,186,312,342,"22.03","22.56","12.27","20.58","22.56",629,31.1,0,0,0,"NA","NA",3162,947,"29.95",3072,894,"29.1",1089,"34.1934",467,"13.417.4",247,221,111,82,73,64,75,58,"7.897.58","7.895.95","4.012.94","2.322.82","3.011.57","1.252.76","2.761.94","1.881.75",786,"11.5440.3"
2.502e+10,6137,2165,5189,2199,"35.83",3908,3140,212,683,"6.75","21.75",689,"21.94",21,35,92,93,281,456,242,116,167,"0.99","1.64","4.32","4.37","13.2","21.42","11.37","5.45","7.84",71565,211,"9.91",2327,2165,1173,992,"54.18","45.82",162,"6.96",232779,964,22,68,117,196,561,"2.22","6.85","11.79","19.76","56.55",1103,29.1,481,113,48,"14.23","6.05",5968,535,"8.96",5636,3256,"57.77",1052,"20.7427.85",519,"9.084.2",143,115,33,73,68,72,68,56,"3.433.29","3.431.97","0.381.17","1.691.74","1.781.41","1.322.07","2.021.17","1.221.41",448,"8.9736.19"
2.502e+10,5695,2200,4808,1937,"34.01",3524,2914,88,683,"3.02","23.44",557,"19.11",45,55,101,81,350,373,163,119,98,"2.04","2.49","4.58","3.67","15.86","16.9","7.39","5.39","4.44",60018,169,"7.66",2362,2200,1040,1160,"47.27","52.73",162,"6.86",198557,1123,54,103,142,238,586,"4.66","8.88","12.24","20.52","50.52",1050,24.6,357,154,59,"24.06","9.22",5695,609,"10.69",5195,2632,"50.66",1205,"24.0530.73",457,"8.884.09",134,136,106,69,121,116,90,50,"3.082.99","3.083.08","3.171.63","0.632.49","3.172.31","2.083.17","3.041.04","1.041.22",384,"6.5526.55"
2.502e+10,3540,1163,3111,1436,"40.56",1839,1254,55,231,"4.39","18.42",169,"13.48",43,47,47,86,144,161,64,35,23,"3.71","4.06","4.06","7.43","12.44","13.9","5.53","3.02","1.99",48694,195,"16.84",1286,1163,413,750,"35.51","64.49",123,"9.56",182872,737,51,78,88,147,374,"6.8","10.4","11.73","19.6","49.87",1030,27,183,43,28,"14.29","9.3",3513,894,"25.45",3136,1422,"45.34",677,"27.1731.04",80,"2.342.01",75,73,72,84,62,27,45,70,"3.283.2","3.283.02","2.853.37","3.713.54","3.451.9","1.470.86","1.042.85","2.943.11",315,"438"
2.502e+10,3396,1161,2308,894,"26.33",1840,1829,129,469,"7.05","25.64",377,"20.61",57,56,58,41,107,145,110,78,76,"4.88","4.79","4.96","3.51","9.15","12.4","9.41","6.67","6.5",52226,37,"3.17",1214,1161,515,646,"44.36","55.64",53,"4.37",216559,636,21,51,82,138,344,"3.25","7.89","12.69","21.36","53.25",1052,27.2,164,36,0,"10.81","0",3147,482,"15.32",3215,1502,"46.72",570,"22.2226.87",237,"6.586.3",47,45,34,50,80,68,55,61,"2.051.97","2.051.8","1.541.37","1.23.08","3.852.99","2.822.99","2.911.8","2.053.17",279,"4.3338.85"
2.502e+10,10441,3819,8263,3016,"28.86",7165,5365,278,1452,"5.18","27.06",1417,"26.41",69,76,171,151,448,834,395,254,304,"1.79","1.98","4.44","3.92","11.64","21.67","10.27","6.6","7.9",69506,254,"6.6",3986,3836,2053,1783,"53.52","46.48",150,"3.76",241512,1733,87,159,211,355,920,"4.91","8.97","11.91","20.03","51.92",1046,24.5,977,220,51,"14.81","3.43",9743,545,"5.59",9667,4958,"51.29",2165,"18.3338.11",1250,"10.96.55",135,149,153,80,145,188,118,178,"1.791.72","1.792.08","2.491.48","0.861.22","1.382.39","2.552.34","2.210.86","1.353.27",601,"7.3426.58"
2.502e+10,4258,1452,2720,1179,"28.02",2189,1760,51,493,"2.9","28.01",349,"19.83",59,68,36,40,130,146,96,40,49,"4.27","4.92","2.6","2.89","9.4","10.56","6.94","2.89","3.54",39770,212,"15.33",1614,1430,380,1050,"26.57","73.43",184,"11.4",178773,1050,111,140,122,204,473,"10.57","13.33","11.62","19.43","45.05",987,31.3,78,23,41,"14.29","25.47",3743,981,"26.21",3947,1533,"38.84",824,"32.3825.24",299,"8.864.8",134,124,86,67,60,97,103,49,"4.924.77","4.924.05","3.252.96","2.891.95","1.592.75","2.894.12","4.053.4","2.820.72",558,"16.4836.67"
2.502e+10,2628,373,954,408,"15.23",797,956,35,246,"3.66","25.73",99,"10.36",29,31,13,22,27,33,8,7,0,"7.06","7.54","3.16","5.35","6.57","8.03","1.95","1.7","0",30842,88,"21.41",449,395,32,363,"8.1","91.9",54,"12.03",200518,363,35,56,67,112,93,"9.64","15.43","18.46","30.85","25.62",752,30.8,4,4,0,"100","0",1157,509,"43.99",2568,670,"26.09",289,"36.9636.2",58,"3.763.51",55,45,12,27,38,23,29,13,"6.816.57","6.814.14","1.221.7","1.954.62","5.843.41","2.922.68","2.924.14","3.160",177,"6.6142.15"
2.502e+10,2927,1311,2144,1026,"35.05",1661,705,20,165,"2.84","23.4",36,"5.11",103,131,14,19,37,27,9,8,14,"7.69","9.78","1.04","1.42","2.76","2.01","0.67","0.6","1.04",14449,577,"43.06",1439,1311,30,1281,"2.29","97.71",128,"8.9",218698,1263,501,432,90,150,91,"39.11","33.72","7.03","11.71","7.1",330,28.1,16,0,0,"0","0",2927,1546,"52.82",2576,1157,"44.91",765,"23.7234.63",66,"0.63.37",351,301,100,47,49,55,53,22,"13.3612.84","13.369.1","4.632.84","1.641.87","1.941.72","1.642.46","2.391.57","1.270.37",465,"7.4928.81"
2.502e+10,2863,729,2783,1305,"43.63",1419,798,41,180,"5.14","22.56",29,"3.63",45,47,32,13,74,44,35,17,15,"6.16","6.43","4.38","1.78","10.12","6.02","4.79","2.33","2.05",37675,310,"42.41",836,706,133,573,"18.84","81.16",130,"15.55",168435,562,32,52,61,102,315,"5.65","9.19","10.78","18.02","55.65",1075,35.1,57,27,0,"37.5","0",2920,1228,"42.05",2608,633,"24.27",504,"30.3141.08",24,"1.690",65,65,56,41,33,48,66,35,"4.514.38","4.514.38","4.243.42","3.012.6","2.61.92","1.644.92","4.924.1","3.421.37",339,"6.7153.18"
2.502e+10,3323,1078,2779,1486,"46.51",1582,924,58,173,"6.28","18.72",128,"13.85",119,120,22,8,103,96,60,28,22,"10.97","11.06","2.03","0.74","9.49","8.85","5.53","2.58","2.03",24748,326,"30.05",1276,1101,246,855,"22.34","77.66",175,"13.71",252563,834,57,91,108,181,398,"6.67","10.64","12.63","21.17","46.55",1021,35.1,92,15,25,"10.14","16.89",3195,1547,"48.42",2812,952,"33.85",770,"38.0631.88",137,"5.313.35",126,115,65,27,23,57,45,51,"5.95.71","5.94.7","3.52.49","1.940.55","02.12","2.492.76","2.671.47","1.752.95",521,"2.8158.13"
2.502e+10,3519,1251,2903,1061,"30.15",2214,1610,74,341,"4.6","21.18",428,"26.58",40,38,50,56,160,171,128,63,108,"3.31","3.14","4.14","4.63","13.23","14.14","10.59","5.21","8.93",62436,145,"11.99",1414,1251,448,803,"35.81","64.19",163,"11.53",244899,796,19,60,106,177,434,"2.39","7.54","13.32","22.24","54.52",1057,28.3,175,35,6,"12.68","2.17",3351,530,"15.82",3214,1440,"44.8",738,"33.7325.26",447,"13.876.32",26,34,52,41,45,55,82,60,"1.081.08","1.081.74","2.481.82","1.411.99","2.151.57","1.413.14","3.233.56","3.141.82",351,"9.334.8"
2.502e+10,5394,2106,4391,1611,"29.87",3317,2574,201,494,"7.81","19.19",578,"22.46",29,33,107,149,422,350,166,89,141,"1.38","1.57","5.09","7.09","20.07","16.64","7.89","4.23","6.7",65072,171,"8.13",2490,2106,716,1390,"34","66",384,"15.42",239552,1358,11,69,141,236,901,"0.8","4.99","10.2","17.06","65.15",1132,25.7,432,74,35,"12.19","5.77",5312,486,"9.15",4889,1668,"34.12",1547,"33.2940.17",725,"13.937.93",59,55,48,80,91,79,91,113,"1.431.38","1.431.19","11.28","1.522.28","2.621.71","1.472.28","2.282.04","2.233.14",480,"7.5927.11"
2.502e+10,2684,1034,2294,947,"35.28",1761,1426,103,317,"7.22","22.23",408,"28.61",22,24,74,45,169,117,113,70,110,"2.13","2.32","7.16","4.35","16.34","11.32","10.93","6.77","10.64",65093,61,"5.9",1099,1034,519,515,"50.19","49.81",65,"5.91",256484,498,7,26,48,81,334,"1.36","5.05","9.32","15.73","64.85",1146,28.4,189,51,33,"15.6","10.09",2670,272,"10.19",2511,1430,"56.95",504,"20.528.24",461,"17.838.35",35,37,41,35,21,21,38,61,"1.741.64","1.741.84","2.031.93","1.931.45","1.260.77","0.681.35","1.452.22","2.423.48",218,"17.0925.24"
2.502e+10,4911,1823,4314,1748,"35.59",3193,2338,104,683,"4.45","29.21",727,"31.09",36,44,86,105,206,221,158,143,212,"1.96","2.4","4.68","5.72","11.21","12.03","8.6","7.78","11.54",60871,236,"12.85",1920,1823,1191,632,"65.33","34.67",97,"5.05",252563,613,91,90,43,73,316,"14.58","14.42","6.89","11.7","50.64",1050,26.4,622,137,49,"13.46","4.81",4876,406,"8.33",4549,3183,"69.97",754,"14.6526.71",655,"12.757.77",104,105,96,59,50,62,53,99,"2.892.78","2.892.83","2.892.34","2.011.2","0.871.85","2.011.36","1.361.52","1.913.48",210,"17.4716.19"
2.502e+10,4375,1515,3871,1699,"38.83",2587,1951,137,476,"7.02","24.4",537,"27.52",33,39,53,106,168,242,177,85,55,"2.24","2.65","3.6","7.2","11.41","16.44","12.02","5.77","3.74",59624,186,"12.64",1644,1515,785,730,"51.82","48.18",129,"7.85",206578,719,10,41,77,130,461,"1.37","5.62","10.55","17.81","63.15",1146,30.5,303,108,35,"23.28","7.54",4332,786,"18.14",3960,1832,"46.26",822,"21.3932.87",363,"9.244.79",86,76,55,76,49,48,66,56,"2.992.85","2.992.17","1.432.31","2.852.31","2.111.22","1.022.24","2.242.24","2.111.7",360,"7.441.92"
2.502e+10,3432,1012,3007,1506,"45.31",1695,1169,39,163,"3.34","13.94",131,"11.21",48,48,31,33,117,120,67,34,50,"4.8","4.8","3.1","3.3","11.7","12","6.7","3.4","5",46698,222,"22.2",1075,976,308,668,"31.56","68.44",99,"9.21",186259,649,36,58,69,116,370,"5.44","8.76","10.42","17.52","55.89",1093,34.8,73,18,15,"12.24","10.2",3259,849,"26.05",2920,1331,"45.58",618,"2934.32",132,"5.432.36",44,49,65,51,50,75,57,62,"2.22.2","2.22.7","3.43.1","32.1","1.73.3","3.54","3.81.9","2.33.9",355,"5.8947.73"
2.502e+10,2777,1200,2185,922,"31.96",1832,981,25,144,"2.55","14.68",166,"16.92",92,104,41,18,94,92,38,19,60,"7.53","8.51","3.36","1.47","7.69","7.53","3.11","1.55","4.91",22403,404,"33.06",1326,1236,199,1037,"16.1","83.9",90,"6.79",186793,1037,265,250,98,164,260,"25.55","24.11","9.45","15.81","25.07",592,29.7,33,0,0,"0","0",2870,895,"31.18",2693,1233,"45.79",759,"30.9130.5",137,"4.153.33",196,174,85,69,49,19,24,49,"8.187.86","8.186.06","3.853.11","2.623.03","3.110.9","0.491.06","1.060.9","1.232.78",494,"7.6240.02"
2.502e+10,3392,1104,3058,1434,"42.28",1825,1330,35,167,"2.63","12.56",139,"10.45",63,63,70,54,130,142,52,30,35,"5.82","5.82","6.47","4.99","12.01","13.12","4.81","2.77","3.23",48594,167,"15.43",1201,1104,394,710,"35.69","64.31",97,"8.08",169148,674,61,90,97,163,263,"8.65","12.77","13.76","23.12","37.3",930,28.2,149,61,8,"29.19","3.83",3385,657,"19.41",3076,1409,"45.81",622,"25.6330.71",59,"2.191.04",63,60,46,46,52,46,50,83,"2.962.87","2.962.59","2.311.94","1.762.5","2.871.94","1.762.5","2.52.13","2.684.99",291,"2.4138.87"
2.502e+10,3221,1108,2831,1255,"38.96",1788,1153,67,231,"5.81","20.03",217,"18.82",54,60,19,54,98,163,77,58,39,"5.06","5.62","1.78","5.06","9.18","15.28","7.22","5.44","3.66",45489,254,"23.81",1181,1108,358,750,"32.31","67.69",73,"6.18",197309,742,88,100,70,118,366,"11.73","13.33","9.33","15.73","48.8",989,31.5,83,10,19,"7.63","14.5",3221,744,"23.1",2900,1375,"47.41",623,"19.7736.46",132,"5.152.24",108,95,51,50,36,42,37,29,"5.154.97","5.153.75","2.252.53","2.721.97","1.591.78","1.782.16","2.061.41","1.311.41",384,"11.0740.13"
2.502e+10,4776,1693,4186,1900,"39.78",2771,2257,132,503,"5.85","22.29",586,"25.96",46,53,94,63,185,304,195,108,94,"2.65","3.05","5.41","3.62","10.64","17.48","11.21","6.21","5.41",61743,299,"17.19",1808,1693,874,819,"51.62","48.38",115,"6.36",204439,778,137,130,53,90,368,"17.17","16.29","6.64","11.28","46.12",1005,23.9,349,97,70,"15.52","11.2",4763,880,"18.48",4323,2131,"49.29",954,"27.728.65",360,"9.423.57",106,97,57,51,56,52,75,103,"3.112.99","3.112.47","1.91.38","1.091.84","2.131.09","0.862.13","2.192.13","2.423.51",227,"4.3924.06"
2.502e+10,4988,1912,4123,1500,"29.98",3238,2710,128,689,"4.72","25.42",769,"28.38",15,20,87,96,226,395,256,163,137,"0.78","1.04","4.52","4.98","11.73","20.51","13.29","8.46","7.11",74356,109,"5.66",2044,1952,1117,835,"57.22","42.78",92,"4.5",216559,814,23,41,54,90,606,"2.75","4.91","6.47","10.78","72.57",1196,24.4,459,127,36,"17.05","4.83",4906,300,"6.11",4529,2186,"48.27",1109,"21.3635.45",591,"12.515.74",55,63,75,47,45,64,80,102,"1.451.4","1.451.82","2.281.61","1.191.25","1.251.09","1.042.28","2.281.87","2.133.17",314,"12.4625.15"
2.502e+10,2613,954,2205,1043,"40.15",1452,913,31,144,"3.4","15.77",65,"7.12",57,65,36,14,48,93,40,24,16,"5.98","6.82","3.78","1.47","5.04","9.76","4.2","2.52","1.68",29465,269,"28.23",1001,914,210,704,"22.98","77.02",87,"8.69",217629,678,137,141,78,131,192,"19.46","20.03","11.08","18.61","27.27",774,29.8,36,0,12,"0","25",2598,731,"28.14",2291,954,"41.64",558,"26.4834.57",62,"3.370.9",128,120,72,39,61,42,31,65,"6.826.61","6.825.77","4.722.83","1.572.52","2.943.46","3.460.94","0.942.31","2.624.2",326,"6.6839.63"
2.502e+10,8773,3251,7662,2970,"33.68",5920,4679,332,1424,"7.1","30.43",1693,"36.18",23,35,66,150,345,498,438,322,566,"0.71","1.08","2.03","4.62","10.63","15.34","13.49","9.92","17.43",84449,142,"4.37",3430,3260,2285,975,"70.09","29.91",170,"4.96",285894,933,36,73,104,174,546,"3.69","7.49","10.67","17.85","56",1087,27.6,1344,218,146,"11.07","7.41",8799,541,"6.15",8290,5689,"68.62",1173,"12.2423.74",1858,"18.4512.94",128,120,81,64,103,118,109,81,"21.94","21.69","1.421.08","0.861.11","1.21.97","2.061.57","1.571.79","1.570.92",416,"6.8735.79"
2.502e+10,8640,2822,7978,3170,"36.69",5352,4610,232,1049,"5.03","22.75",1291,"28",33,41,93,66,312,523,517,330,360,"1.16","1.44","3.27","2.32","10.97","18.39","18.18","11.6","12.66",91759,95,"3.34",3032,2822,2318,504,"82.14","17.86",210,"6.93",300687,472,39,42,26,44,321,"7.91","8.52","5.27","8.92","65.11",1203,29.2,1510,554,80,"28.15","4.07",8631,603,"6.99",7798,4869,"62.44",1160,"10.2830.83",1187,"14.727.46",104,89,47,63,63,70,58,78,"1.861.79","1.861.27","0.631.02","1.270.95","0.841.37","1.441.02","0.981.05","1.161.58",223,"6.0939.15"
2.502e+10,11179,4044,9966,3596,"32.19",7313,5707,210,1080,"3.68","18.92",1467,"25.71",70,72,138,163,412,942,651,372,377,"1.73","1.78","3.42","4.04","10.21","23.34","16.13","9.22","9.34",84652,153,"3.79",4159,4027,2956,1071,"73.4","26.6",132,"3.17",249890,1023,74,110,121,203,514,"7.06","10.5","11.55","19.37","49.05",1052,22.1,1699,519,110,"21.67","4.59",11099,400,"3.6",10375,6212,"59.87",1878,"12.4934.14",924,"8.923.72",89,107,149,107,85,59,93,153,"1.111.09","1.111.54","2.031.66","1.441.21","1.140.97","0.920.55","0.621.68","1.732.06",292,"7.7320.13"
2.502e+10,4902,1761,4399,1636,"33.68",3237,2572,87,470,"3.38","18.27",550,"21.38",22,28,33,62,218,333,240,138,175,"1.26","1.6","1.88","3.54","12.44","19.01","13.7","7.88","9.99",75501,106,"6.05",1821,1753,1301,452,"74.22","25.78",68,"3.73",253633,424,24,38,45,75,244,"5.31","8.41","9.96","16.59","53.98",1103,24.7,661,172,96,"16.91","9.44",4850,159,"3.28",4477,2840,"63.44",651,"13.5823.56",439,"10.662.9",76,75,56,43,65,73,73,43,"2.232.11","2.232.05","1.881.31","0.911.54","1.771.94","1.942.23","2.172","1.710.74",162,"7.5228.32"
2.502e+10,9549,3195,8812,3498,"36.64",5971,5307,212,1047,"3.99","19.73",1626,"30.64",13,20,77,70,284,706,543,375,492,"0.4","0.62","2.4","2.18","8.84","21.97","16.9","11.67","15.31",91376,100,"3.11",3281,3194,2619,575,"82","18",87,"2.65",280190,544,16,27,35,58,408,"2.82","4.76","6.17","10.23","71.96",1196,21.9,1607,445,84,"21.1","3.98",9527,271,"2.84",8784,5613,"63.9",1307,"11.6229.3",1320,"15.067.05",76,81,81,65,73,72,102,82,"1.211.15","1.211.31","1.491.03","0.751.28","1.490.78","0.621.62","1.651.53","1.431.12",120,"8.1113.05"
2.502e+10,4857,1523,4681,1888,"38.48",3086,2674,107,577,"4","21.58",827,"30.93",8,9,41,39,176,262,248,188,363,"0.53","0.6","2.72","2.59","11.67","17.37","16.45","12.47","24.07",103829,31,"2.06",1545,1545,1418,127,"91.78","8.22",0,"0",332948,114,4,9,13,21,67,"3.36","7.56","10.92","17.65","56.3",1191,25.5,987,285,15,"22.51","1.18",4895,105,"2.15",4546,3112,"68.46",531,"13.5920.78",800,"17.018.91",14,14,19,31,25,17,29,25,"0.460.46","0.460.46","0.530.73","0.861.19","1.390.27","01.13","1.190.73","0.80.86",31,"3.3622.69"
2.502e+10,6682,2245,5909,2436,"36.73",4326,3589,282,736,"7.86","20.51",1135,"31.62",24,30,59,64,193,325,381,295,489,"1.06","1.33","2.62","2.84","8.55","14.41","16.89","13.08","21.68",103050,110,"4.88",2304,2223,1938,285,"87.18","12.82",81,"3.52",324037,238,61,51,6,11,109,"23.11","19.32","2.27","4.17","41.29",818,25.8,1272,328,0,"21.61","0",6507,190,"2.92",6118,3912,"63.94",923,"8.7732.75",1149,"18.687.88",79,65,25,41,33,33,51,69,"1.771.73","1.771.11","0.40.71","0.930.89","0.890.58","0.490.98","1.021.24","1.331.73",108,"9.8531.06"
2.502e+10,970,231,99,31,"3.18",956,232,0,187,"0","80.6",74,"31.9",24,30,3,0,8,5,8,10,10,"8.99","11.24","1.12","0","3","1.87","3","3.75","3.75",13421,33,"12.36",206,197,8,189,"4.06","95.94",9,"4.37",401035,176,82,65,2,4,23,"43.39","34.39","1.06","2.12","12.17",296,23.6,8,0,0,"0","0",732,380,"51.91",962,460,"47.82",124,"24.3738.58",67,"4.182.82",73,62,19,7,4,0,0,5,"13.8613.48","13.869.36","4.492.62","1.51.12","1.120.37","00","00","0.371.5",41,"13.238.47"
2.502e+10,6773,2251,6231,2399,"35.47",4340,3980,278,704,"6.98","17.69",1185,"29.77",24,24,110,118,225,367,391,318,373,"1.1","1.1","5.03","5.39","10.28","16.77","17.87","14.53","17.05",98973,65,"2.97",2351,2284,2058,226,"90.11","9.89",67,"2.85",286428,198,0,3,7,12,176,"0","1.52","3.54","6.06","88.89",1604,27.3,1623,486,10,"26.31","0.54",6741,200,"2.97",6219,3969,"63.82",1092,"10.1137.7",1043,"18.625.41",27,29,34,25,29,32,18,46,"0.640.59","0.640.69","0.820.73","0.640.5","0.410.91","1.010.46","0.410.41","0.641.46",76,"9.628.79"
2.502e+10,7984,2494,7589,3018,"37.8",5103,4454,304,946,"6.83","21.24",1164,"26.13",13,18,103,52,217,541,452,310,463,"0.52","0.72","4.13","2.09","8.71","21.71","18.14","12.44","18.58",98655,125,"5.02",2543,2494,2320,174,"93.02","6.98",49,"1.93",278586,174,0,4,10,16,144,"0","2.3","5.75","9.2","82.76",1765,27.3,1617,471,31,"22.36","1.47",7927,151,"1.9",7290,4994,"68.5",907,"9.9826.38",904,"12.115.6",55,49,33,30,24,30,21,80,"1.121.08","1.120.84","0.60.72","0.80.4","0.240.72","0.80.4","0.40.44","0.842.37",80,"14.3731.61"
2.502e+10,11279,3408,10481,4531,"40.17",6926,6300,339,1176,"5.38","18.67",1702,"27.02",22,31,55,112,312,725,582,438,664,"0.64","0.9","1.61","3.27","9.11","21.16","16.99","12.78","19.38",98526,145,"4.23",3455,3408,2929,479,"85.94","14.06",47,"1.36",301757,469,82,70,13,22,282,"17.12","14.61","2.71","4.59","58.87",1344,24.9,2272,467,38,"17.53","1.43",11191,232,"2.07",10511,8009,"76.2",948,"4.1423.68",1442,"13.627.2",98,82,38,60,40,34,64,70,"1.461.4","1.460.93","0.380.73","0.960.79","0.70.47","0.410.58","0.641.23","1.140.9",134,"17.7510.23"
2.502e+10,8012,2412,7674,3433,"42.22",5019,4705,278,1015,"5.91","21.57",1030,"21.89",21,23,45,67,245,531,405,324,461,"0.86","0.94","1.84","2.74","10.02","21.71","16.56","13.25","18.85",98116,69,"2.82",2451,2417,2246,171,"92.93","7.07",34,"1.39",287141,148,0,5,11,18,115,"0","2.92","6.43","10.53","67.25",1405,18.5,1673,461,56,"21.66","2.63",8122,117,"1.44",7524,5655,"75.16",642,"7.1219.45",927,"13.774.7",35,36,37,33,26,48,58,51,"0.740.7","0.740.74","0.740.78","0.820.53","0.450.61","0.651.31","1.311.06","1.061.02",27,"9.945.85"
2.502e+10,6543,2377,5495,2162,"33.66",4029,3588,145,824,"4.04","22.97",1168,"32.55",27,31,78,106,294,397,354,204,320,"1.16","1.33","3.35","4.56","12.63","17.06","15.21","8.77","13.75",79656,129,"5.54",2502,2372,1630,742,"68.72","31.28",130,"5.2",266822,742,11,16,17,29,669,"1.48","2.16","2.29","3.91","90.16",1344,28.2,1136,372,56,"25.92","3.9",6392,263,"4.11",5879,3555,"60.47",1277,"24.229.64",971,"16.87.3",65,63,45,45,65,50,79,105,"1.421.38","1.421.29","1.160.77","0.561.38","1.681.12","0.951.2","1.292.11","2.112.41",312,"12.1329.92"
2.502e+10,5893,1570,4685,2000,"33.94",3686,2674,117,518,"4.38","19.37",646,"24.16",6,7,38,64,191,373,268,198,231,"0.39","0.45","2.46","4.15","12.38","24.17","17.37","12.83","14.97",94233,67,"4.34",1607,1570,1453,117,"92.55","7.45",37,"2.3",277695,117,0,2,4,7,105,"0","1.71","3.42","5.98","89.74",1606,25.9,1050,233,40,"17.35","2.98",5011,117,"2.33",5462,3346,"61.26",518,"6.526.5",505,"8.145.56",18,21,27,12,23,22,17,29,"0.580.58","0.580.78","1.10.65","0.390.39","0.391.1","1.230.19","0.190.91","0.910.97",33,"7.6920.51"
2.502e+10,5882,1928,5119,2050,"34.85",3715,3162,201,792,"6.36","25.05",1008,"31.88",16,21,53,72,131,415,321,222,290,"0.82","1.08","2.72","3.7","6.74","21.34","16.5","11.41","14.91",92027,31,"1.59",1990,1928,1372,556,"71.16","28.84",62,"3.12",290528,538,26,35,34,57,385,"4.68","6.29","6.12","10.25","69.24",1237,23.3,933,203,39,"17.23","3.31",5690,115,"2.02",5442,3611,"66.35",758,"13.4925.83",886,"15.598.26",65,55,22,39,67,63,48,46,"1.71.65","1.71.13","0.510.62","0.671.34","1.591.85","1.91.34","1.291.18","1.181.18",153,"3.7823.74"
