tractid90,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,occ_profmanage,pctocc_profmanage,inc_0_5K,inc_5K_10K,inc_50K_55K,inc_55K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,inc_150K_more,pctinc_0_5K,pctinc_5K_10K,pctinc_50K_55K,pctinc_55K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,publicassist,pctpublicassist,units,unitsocc,own,rent,pctown,pctrent,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_750,rent_750_1000,rent_1000_more,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,medianrent,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popupov,poverty,pctpoverty,popu5,sameres,pctsameres,units_newres,pctunits_newres,college,pctcollege,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,incomerent_30_more,pctincomerent_30_more
2.502e+10,3546,1785,1776,636,"17.4",2694,1950,99,1033,"5.08","52.97",1018,"52.21",81,87,35,40,185,253,143,77,169,"4.61","4.95","1.99","2.28","10.54","14.41","8.14","4.38","9.62",53278,183,"10.42",1959,1864,413,1451,"22.16","77.84",95,"4.85",390698,1429,218,243,165,278,525,"15.02","16.75","11.37","19.16","36.18",879,24,44,21,0,"38.89","0",3493,641,"18.35",3448,1599,"46.37",1135,"22.6438.25",1450,"25.6128.21",132,132,103,50,75,77,69,49,"3.823.7","3.823.7","3.72.16","1.21.65","1.822.45","2.511.88","1.882.05","1.820.97",510,"9.8625.29"
2.502e+10,7123,1471,2319,624,"8.76",2827,3758,99,2446,"2.63","65.09",1168,"31.08",51,51,97,68,194,141,97,48,110,"3.57","3.57","6.78","4.76","13.57","9.86","6.78","3.36","7.69",51981,54,"3.78",1588,1471,94,1377,"6.39","93.61",117,"7.37",269318,1348,50,93,126,212,867,"3.63","6.75","9.15","15.4","62.96",1153,26,10,0,0,"0","0",3506,680,"19.4",6873,913,"13.28",967,"30.9334.81",1809,"27.7736.22",51,57,73,54,67,84,86,101,"1.821.75","1.822.17","2.732.38","2.171.61","1.43.29","3.572.31","2.313.71","3.643.43",546,"7.4132.24"
2.502e+10,2814,1285,1646,592,"21.01",2024,1663,128,706,"7.7","42.45",727,"43.72",41,49,25,48,120,167,121,93,109,"3.14","3.76","1.92","3.68","9.2","12.81","9.28","7.13","8.36",56445,171,"13.11",1366,1303,417,886,"32","68",63,"4.61",401035,886,153,155,81,136,360,"17.27","17.49","9.14","15.35","40.63",866,26.7,60,13,15,"14.61","16.85",2783,475,"17.07",2646,1246,"47.09",639,"22.4926.55",925,"20.6525.05",110,106,82,58,39,48,49,38,"4.294.14","4.293.83","3.372.91","2.611.84","1.531.46","1.382.3","2.221.53","1.461.46",316,"8.4727.2"
2.502e+10,3476,1637,2142,657,"18.92",2720,2260,125,1179,"5.53","52.17",1030,"45.58",35,35,87,92,174,239,180,113,158,"2.14","2.14","5.32","5.62","10.64","14.61","11","6.91","9.66",63454,60,"3.67",1719,1619,514,1105,"31.75","68.25",100,"5.82",327780,1094,88,133,150,251,472,"7.96","12.04","13.57","22.71","42.71",888,20.6,101,24,19,"14.04","11.11",3472,258,"7.43",3348,1791,"53.49",863,"20.2633.05",1390,"24.6726.43",38,54,94,66,68,70,57,75,"1.161.16","1.162.14","3.32.44","1.892.14","2.261.89","1.772.51","2.441.04","1.473.12",269,"3.1721.18"
2.502e+10,2303,936,1618,614,"27.31",1450,1255,45,583,"3.59","46.45",466,"37.13",7,11,85,71,91,125,42,36,46,"0.77","1.21","9.32","7.79","9.98","13.71","4.61","3.95","5.04",52158,37,"4.06",977,944,190,754,"20.13","79.87",33,"3.38",296766,745,47,66,69,116,447,"6.23","8.75","9.15","15.38","59.28",1130,27.8,47,5,4,"9.8","7.84",2218,218,"9.83",2088,1078,"51.63",480,"21.7229.13",684,"23.6623.52",35,32,18,31,63,70,69,81,"1.971.86","1.971.54","1.10.88","0.772.63","3.293.62","3.624.06","4.063.51","3.845.04",340,"11.4133.69"
2.502e+10,2391,1164,1537,586,"23.96",1845,1429,83,680,"5.81","47.59",665,"46.54",26,30,22,35,143,126,60,60,161,"2.19","2.52","1.85","2.94","12.03","10.6","5.05","5.05","13.54",51602,127,"10.68",1264,1156,337,819,"29.15","70.85",108,"8.54",391411,807,93,114,95,160,345,"11.36","13.92","11.6","19.54","42.12",904,25.3,68,15,9,"14.85","8.91",2446,267,"10.92",2304,1155,"50.13",599,"20.1631.66",881,"25.3722.38",61,74,93,42,55,87,69,43,"2.612.52","2.613.62","4.793.03","1.931.6","1.433.2","3.453.87","3.782.02","1.931.68",315,"9.7728.69"
2.502e+10,4716,1644,1603,462,"9.8",2923,2398,93,1521,"3.88","63.43",1513,"63.09",21,22,55,94,117,249,151,81,310,"1.29","1.36","3.39","5.8","7.21","15.35","9.31","4.99","19.11",72016,17,"1.05",1711,1644,458,1186,"27.86","72.14",67,"3.92",712952,1166,22,85,158,265,635,"1.85","7.17","13.32","22.34","53.54",1046,24.7,132,64,0,"36.36","0",3061,212,"6.93",4581,1381,"30.15",935,"22.8734",2461,"32.651.59",35,41,63,83,91,97,65,44,"1.111.05","1.111.42","1.792.1","2.342.77","2.962.65","2.533.45","3.270.74","0.921.79",419,"6.3229.01"
2.502e+10,5323,1753,1251,317,"5.96",2742,3113,132,2110,"4.24","67.78",1445,"46.42",42,44,84,100,217,237,129,78,180,"2.4","2.51","4.79","5.71","12.39","13.53","7.36","4.45","10.27",58367,58,"3.31",1823,1753,420,1333,"23.96","76.04",70,"3.84",488194,1325,64,146,223,375,517,"4.8","10.95","16.73","28.13","38.78",850,23.3,57,35,0,"42.68","0",2901,261,"9",5239,1224,"23.36",1105,"24.0239.02",1845,"27.9739.31",61,62,69,68,76,106,102,97,"1.771.71","1.771.77","1.882.05","2.171.71","1.542.8","2.973.08","3.082.74","2.682.85",445,"8.4824.91"
2.502e+10,4395,2660,1760,359,"8.17",3704,3038,262,1714,"8.62","56.42",1875,"61.72",50,54,113,127,390,430,228,139,294,"1.88","2.04","4.26","4.79","14.7","16.21","8.59","5.24","11.08",65775,104,"3.92",2848,2660,668,1992,"25.11","74.89",188,"6.6",506196,1949,51,155,269,451,1023,"2.56","7.78","13.5","22.64","51.36",1007,24.2,81,33,6,"32.67","5.94",4310,378,"8.77",4206,1649,"39.21",1684,"26.0537.26",2766,"27.7546.92",84,84,80,91,120,137,104,129,"1.621.55","1.621.55","1.511.51","1.511.92","2.072.45","2.492.68","2.61.32","1.73.17",725,"8.4327.96"
2.502e+10,5481,1169,1127,303,"5.53",1744,2832,62,1910,"2.19","67.44",1157,"40.85",69,71,34,39,135,130,63,65,57,"6.06","6.23","2.99","3.42","11.85","11.41","5.53","5.71","5",45832,41,"3.6",1228,1169,97,1072,"8.3","91.7",59,"4.8",416542,1063,54,82,92,155,680,"5.04","7.65","8.58","14.46","63.43",1264,32.8,23,14,0,"40","0",2153,456,"21.18",5374,595,"11.07",872,"38.8435.76",1370,"31.1447.42",83,79,55,43,61,44,52,58,"3.693.6","3.693.25","2.91.93","1.232.55","2.992.37","2.191.67","1.762.81","2.722.37",531,"5.1344.4"
