tractid90,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,occ_profmanage,pctocc_profmanage,college,pctcollege,inc_0_5K,inc_5K_10K,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,inc_50K_55K,inc_55K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,inc_150K_more,pctinc_0_5K,pctinc_5K_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_55K,pctinc_55K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,poverty,pctpoverty,publicassist,pctpublicassist,units,unitsocc,own,rent,pctown,pctrent,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_750,rent_750_1000,rent_1000_more,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,medianrent,incomerent_30_more,pctincomerent_30_more,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popupov,popu5,sameres,pctsameres,units_newres,pctunits_newres
"25017311500",2684,1034,2294,947,35.28,1761,1426,103,317,7.22,22.23,408,28.61,461,26.18,22,24,35,37,41,35,21,21,38,61,74,45,169,117,113,70,110,2.13,2.32,3.38,3.58,3.96,3.38,2.03,2.03,3.67,5.9,7.16,4.35,16.34,11.32,10.93,6.77,10.64,65093,272,10.19,61,5.9,1099,1034,519,515,50.19,49.81,65,5.91,256484,498,7,26,48,81,334,1.36,5.05,9.32,15.73,64.85,1146,218,42.33,28.4,189,51,33,15.6,10.09,2670,2511,1430,56.95,504,48.74
"25017311600",4911,1823,4314,1748,35.59,3193,2338,104,683,4.45,29.21,727,31.09,655,20.52,36,44,104,105,96,59,50,62,53,99,86,105,206,221,158,143,212,1.96,2.4,5.67,5.72,5.23,3.21,2.72,3.37,2.88,5.39,4.68,5.72,11.21,12.03,8.6,7.78,11.54,60871,406,8.33,236,12.85,1920,1823,1191,632,65.33,34.67,97,5.05,252563,613,91,90,43,73,316,14.58,14.42,6.89,11.7,50.64,1050,210,33.66,26.4,622,137,49,13.46,4.81,4876,4549,3183,69.97,754,41.36
"25017311700",4375,1515,3871,1699,38.83,2587,1951,137,476,7.02,24.4,537,27.52,363,14.03,33,39,86,76,55,76,49,48,66,56,53,106,168,242,177,85,55,2.24,2.65,5.84,5.16,3.74,5.16,3.33,3.26,4.48,3.81,3.6,7.2,11.41,16.44,12.02,5.77,3.74,59624,786,18.14,186,12.64,1644,1515,785,730,51.82,48.18,129,7.85,206578,719,10,41,77,130,461,1.37,5.62,10.55,17.81,63.15,1146,360,49.32,30.5,303,108,35,23.28,7.54,4332,3960,1832,46.26,822,54.26
"25017311800",3432,1012,3007,1506,45.31,1695,1169,39,163,3.34,13.94,131,11.21,132,7.79,48,48,44,49,65,51,50,75,57,62,31,33,117,120,67,34,50,4.8,4.8,4.4,4.9,6.5,5.1,5,7.5,5.7,6.2,3.1,3.3,11.7,12,6.7,3.4,5,46698,849,26.05,222,22.2,1075,976,308,668,31.56,68.44,99,9.21,186259,649,36,58,69,116,370,5.44,8.76,10.42,17.52,55.89,1093,355,53.62,34.799999,73,18,15,12.24,10.2,3259,2920,1331,45.58,618,63.32
"25017311900",2777,1200,2185,922,31.96,1832,981,25,144,2.55,14.68,166,16.92,137,7.48,92,104,196,174,85,69,49,19,24,49,41,18,94,92,38,19,60,7.53,8.51,16.04,14.24,6.96,5.65,4.01,1.55,1.96,4.01,3.36,1.47,7.69,7.53,3.11,1.55,4.91,22403,895,31.18,404,33.06,1326,1236,199,1037,16.1,83.9,90,6.79,186793,1037,265,250,98,164,260,25.55,24.11,9.45,15.81,25.07,592,494,47.64,29.700001,33,0,0,0,0,2870,2693,1233,45.79,759,61.41
"25017312000",3392,1104,3058,1434,42.28,1825,1330,35,167,2.63,12.56,139,10.45,59,3.23,63,63,63,60,46,46,52,46,50,83,70,54,130,142,52,30,35,5.82,5.82,5.83,5.55,4.25,4.26,4.81,4.26,4.63,7.67,6.47,4.99,12.01,13.12,4.81,2.77,3.23,48594,657,19.41,167,15.43,1201,1104,394,710,35.69,64.31,97,8.08,169148,674,61,90,97,163,263,8.65,12.77,13.76,23.12,37.3,930,291,41.28,28.200001,149,61,8,29.19,3.83,3385,3076,1409,45.81,622,56.34
"25017312100",3221,1108,2831,1255,38.96,1788,1153,67,231,5.81,20.03,217,18.82,132,7.39,54,60,108,95,51,50,36,42,37,29,19,54,98,163,77,58,39,5.06,5.62,10.12,8.9,4.78,4.69,3.37,3.94,3.47,2.72,1.78,5.06,9.18,15.28,7.22,5.44,3.66,45489,744,23.1,254,23.81,1181,1108,358,750,32.31,67.69,73,6.18,197309,742,88,100,70,118,366,11.73,13.33,9.33,15.73,48.8,989,384,51.2,31.5,83,10,19,7.63,14.5,3221,2900,1375,47.41,623,56.23
"25017312200",4776,1693,4186,1900,39.78,2771,2257,132,503,5.85,22.29,586,25.96,360,12.99,46,53,106,97,57,51,56,52,75,103,94,63,185,304,195,108,94,2.65,3.05,6.1,5.58,3.28,2.93,3.22,2.99,4.32,5.93,5.41,3.62,10.64,17.48,11.21,6.21,5.41,61743,880,18.48,299,17.19,1808,1693,874,819,51.62,48.38,115,6.36,204439,778,137,130,53,90,368,17.17,16.29,6.64,11.28,46.12,1005,227,28.45,23.9,349,97,70,15.52,11.2,4763,4323,2131,49.29,954,56.35
"25017312300",4988,1912,4123,1500,29.98,3238,2710,128,689,4.72,25.42,769,28.38,591,18.25,15,20,55,63,75,47,45,64,80,102,87,96,226,395,256,163,137,.78,1.04,2.85,3.27,3.89,2.44,2.34,3.32,4.15,5.3,4.52,4.98,11.73,20.51,13.29,8.46,7.11,74356,300,6.11,109,5.66,2044,1952,1117,835,57.22,42.78,92,4.5,216559,814,23,41,54,90,606,2.75,4.91,6.47,10.78,72.57,1196,314,37.61,24.4,459,127,36,17.05,4.83,4906,4529,2186,48.27,1109,56.81
"25017312400",2613,954,2205,1043,40.15,1452,913,31,144,3.4,15.77,65,7.12,62,4.27,57,65,128,120,72,39,61,42,31,65,36,14,48,93,40,24,16,5.98,6.82,13.43,12.59,7.55,4.09,6.4,4.4,3.25,6.82,3.78,1.47,5.04,9.76,4.2,2.52,1.68,29465,731,28.14,269,28.23,1001,914,210,704,22.98,77.02,87,8.69,217629,678,137,141,78,131,192,19.46,20.03,11.08,18.61,27.27,774,326,46.31,29.799999,36,0,12,0,25,2598,2291,954,41.64,558,61.05
"25017312500",8773,3251,7662,2970,33.68,5920,4679,332,1424,7.1,30.43,1693,36.18,1858,31.39,23,35,128,120,81,64,103,118,109,81,66,150,345,498,438,322,566,.71,1.08,3.94,3.69,2.5,1.97,3.17,3.63,3.36,2.49,2.03,4.62,10.63,15.34,13.49,9.92,17.43,84449,541,6.15,142,4.37,3430,3260,2285,975,70.09,29.91,170,4.96,285894,933,36,73,104,174,546,3.69,7.49,10.67,17.85,56,1087,416,42.66,27.6,1344,218,146,11.07,7.41,8799,8290,5689,68.62,1173,35.98
"25017313100",8640,2822,7978,3170,36.69,5352,4610,232,1049,5.03,22.75,1291,28,1187,22.18,33,41,104,89,47,63,63,70,58,78,93,66,312,523,517,330,360,1.16,1.44,3.65,3.13,1.65,2.22,2.21,2.46,2.03,2.74,3.27,2.32,10.97,18.39,18.18,11.6,12.66,91759,603,6.99,95,3.34,3032,2822,2318,504,82.14,17.86,210,6.93,300687,472,39,42,26,44,321,7.91,8.52,5.27,8.92,65.11,1203,223,45.24,29.200001,1510,554,80,28.15,4.07,8631,7798,4869,62.44,1160,41.11
"25017314100",11179,4044,9966,3596,32.19,7313,5707,210,1080,3.68,18.92,1467,25.71,924,12.64,70,72,89,107,149,107,85,59,93,153,138,163,412,942,651,372,377,1.73,1.78,2.2,2.65,3.69,2.65,2.11,1.47,2.3,3.79,3.42,4.04,10.21,23.34,16.13,9.22,9.34,84652,400,3.6,153,3.79,4159,4027,2956,1071,73.4,26.6,132,3.17,249890,1023,74,110,121,203,514,7.06,10.5,11.55,19.37,49.05,1052,292,27.86,22.1,1699,519,110,21.67,4.59,11099,10375,6212,59.87,1878,46.63
"25017314200",4902,1761,4399,1636,33.68,3237,2572,87,470,3.38,18.27,550,21.38,439,13.56,22,28,76,75,56,43,65,73,73,43,33,62,218,333,240,138,175,1.26,1.6,4.34,4.28,3.19,2.45,3.71,4.17,4.17,2.45,1.88,3.54,12.44,19.01,13.7,7.88,9.99,75501,159,3.28,106,6.05,1821,1753,1301,452,74.22,25.78,68,3.73,253633,424,24,38,45,75,244,5.31,8.41,9.96,16.59,53.98,1103,162,35.84,24.700001,661,172,96,16.91,9.44,4850,4477,2840,63.44,651,37.14
