tractid10,totalpop,households,pcthhchild,pctind_info,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_200K,pctinc_200K_more,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres_2010,pctincomerent_30_more,medhhincome,medianvalue,medianrent,medianpctincomerent
"25017368902",3780,1476,19.81,2.78,4.64,16.15,45.77,50.3,5.08,6.71,5.56,11.45,1.56,5.42,4.61,6.5,2.1,1.76,11.11,13.62,9.76,2.51,9.55,2.71,13.62074,1.76,1617,23.51,76.49,8.72,1.69,4.37,.53,13.37,12.48,17.02,46.79,3.74,28.53,7.2,75.61,13.64217,58.28,55385,456400,1506,34.200001
"25017369000",1461,557,13.55,4.98,4.11,13.95,56.16,48,0,3.77,2.15,2.69,5.92,2.87,2.69,6.64,7.18,13.29,5.03,15.08,8.98,8.8,7.36,7.54,8.646917,0,582,82.41,17.59,4.3,0,0,0,37.65,0,45.88,0,16.47,30.72,8.71,80.76,10.62718,47.96,65938,358900,1317,30.9
"25017369100",4744,1850,29.13,3.43,11.67,12.74,43.26,44,.65,1.51,2.05,3.62,3.41,3.08,2,3.57,5.41,4.65,13.68,15.89,12.38,9.46,10.27,8.38,3.729252,1.19,2017,86.92,13.08,8.28,0,5.88,14.71,8.82,32.35,19.61,14.22,4.41,19.15,5.47,93.04,4.416612,26.03,80673,431300,1159,23
"25017370101",6395,2657,22.53,2.6,7.61,18.38,54.79,46.63,3.8,4.63,5.42,3.42,2.33,1.35,3.69,3.76,2.56,5.04,7.9,16,13.55,13.77,8.13,4.63,7.298356,3.2,2791,56.94,43.06,4.8,4.72,16.28,3.02,8.72,13.26,21.8,23.04,9.16,24.79,7.6,90.05,14.77219,38.81,85344,386300,1296,23.1
"25017370102",7251,3118,16.89,5.94,6.56,21.92,54.29,51.69,2.98,3.88,5.13,2.47,1.64,2.44,2.44,2.63,1.31,7.7,13.76,17.74,7.67,11.83,12.03,4.36,6.079027,0,3300,45.45,54.55,5.52,5.13,5.55,7.28,5.07,11.28,26.63,22.15,16.9,30.35,5.79,83.92,15.43747,35.69,76799,410700,1397,23.9
"25017370201",3598,1610,19.84,2.25,5.95,15.51,61.1,72.75,.81,9.07,0,4.04,.62,3.35,.87,1.86,4.47,5.28,5.03,12.05,19.57,12.92,10.12,9.94,6.336854,1.86,1852,64.1,35.9,13.07,0,10.48,0,0,11.43,9.71,53.14,15.24,38.18,7.66,83.76,11.69738,29.93,101530,520600,1673,22.299999
"25017370202",4192,1820,23.59,.7,5.29,20.12,66.48,62.81,1.87,2.14,2.53,.88,3.52,6.26,1.92,1.37,2.97,2.58,11.15,11.43,18.63,9.12,12.03,11.59,2.058401,5.27,1848,66.48,33.52,1.52,0,2.35,0,3.02,17.09,24.46,26.3,26.8,26.36,9.42,87.71,10.38774,36.55,102155,506300,1559,21.700001
"25017370300",5429,2561,18.81,1.51,7.34,17.83,50.36,48.92,11.44,3.51,2.97,3.75,8.43,2.26,5.54,.78,2.97,8.47,8.36,11.36,7.3,8.86,7.77,6.21,9.521137,3.83,2773,42.41,57.59,7.65,7.47,5.41,6.03,6.17,17.41,14.19,38.31,5,24.4,21.45,80.45,16.05169,35.86,59832,397800,1382,24.299999
"25017370400",5208,2244,18.53,3.9,9.13,14.79,58.59,61.07,4.28,1.65,3.52,2.5,3.57,2.27,.53,1.11,1.11,4.86,13.37,19.92,17.29,5.88,6.77,11.36,6.083057,2.9,2275,47.95,52.05,1.36,0,2.42,2.25,10.04,15.76,26.67,36.45,6.41,32.25,11.99,81.08,10.45481,17.3,86525,409600,1433,19.4
"25017373100",4701,2126,22.42,3.52,7.89,20.23,73.54,71.24,6.59,7.71,0,4.19,9.13,.89,3.72,.75,4.89,5.27,8.18,7.29,7.01,16.84,7.01,10.54,9.205199,2.78,2224,45.34,54.66,4.41,0,1.32,1.32,5.03,21.71,13.24,37.16,20.21,36.1,9.13,80.47,12.61492,49.65,71667,590800,1599,31.200001
"25017373200",4295,1847,28.31,3.14,7.52,20.87,52.44,51.96,10.77,6.39,4.22,1.35,1.46,1.68,3.3,3.95,4.11,8.07,7.63,11.48,9.47,7.15,11.91,7.04,12.53209,1.25,2043,51.22,48.78,9.59,3.21,12.83,8.19,0,16.98,15.2,28.86,14.73,19.34,20.72,74.26,8.187135,38.29,66771,495600,1395,27.5
"25017373300",2462,1069,25.43,5.88,7.73,14.86,65.85,67.54,1.87,3.84,.75,4.12,0,1.12,6.55,3.37,2.53,6.27,6.74,13.1,14.97,9.64,12.54,12.63,3.655565,.75,1213,61.74,38.26,11.87,4.89,0,0,10.27,17.36,15.16,23.96,28.36,20.15,12.12,89.59,9.568404,36.92,99375,580300,1548,24.6
"25017373400",3141,1234,31.52,3.32,12.38,20.17,75.73,77.51,.73,0,4.29,2.35,5.11,5.75,1.3,1.54,4.46,5.75,6.24,16.61,7.29,13.29,8.43,16.86,4.225806,3.57,1412,58.83,41.17,12.61,0,0,1.63,11.61,15.89,10.18,46.23,14.46,28.37,9.64,90.16,10.27132,43.31,95400,674700,1616,27.299999
"25017373500",5638,1828,27.01,2.28,8.76,25.69,77.82,84.99,1.97,4.43,2.13,1.64,1.2,3.12,1.42,.82,1.64,4.1,5.14,9.74,5.31,6.35,12.09,38.89,5.333333,0,1939,84.9,15.1,5.72,0,0,0,0,3.33,6.25,74.17,16.25,23.65,7.09,81.45,2.830579,46.74,154500,906900,1772,32
"25017373600",6923,948,10.33,2.18,6.87,11.33,57.88,89.83,4.85,2.74,1.69,0,1.16,3.8,3.06,0,1.16,1.37,10.02,8.97,10.76,4.85,5.27,40.3,11.13754,1.37,1012,71.52,28.48,6.32,8.61,2.05,0,9.02,15.98,0,14.75,49.59,22.86,6.49,61.68,6.41129,54.44,135435,1000001,1986,32.599998
"25017373700",3747,1317,33.17,1.5,8.73,26.93,83.7,89.81,1.21,.76,.61,2.35,.61,.38,0,.61,.91,5.39,2.73,8.73,9.19,6.45,10.17,49.89,2.538071,1.9,1345,93.01,6.99,2.08,0,0,0,0,10,16.25,52.5,21.25,20,5.14,90.1,5.19411,15.21,197159,900800,1726,18.700001
"25017373800",5457,2273,27.18,4.13,8.44,22.6,76.25,78.34,9.81,2.51,3.65,2.42,1.14,6.16,.97,.88,1.5,1.14,8.89,10.29,8.75,5.85,11.44,24.59,7.98722,0,2549,63.88,36.12,10.83,7.26,4.93,0,1.82,4.8,6.49,49.68,25.03,20.59,11.91,88.45,6.059465,39.1,101036,619900,1749,27.9
"25017373900",7164,2795,30.74,2.47,10.92,27.22,72.33,75.47,3.29,.89,2.08,2.75,.93,1.79,3.79,2.47,0,4.54,6.58,8.84,9.12,5.44,12.59,34.88,3.938115,1.22,2853,82.36,17.64,2.03,0,0,2.92,5.62,0,9.38,31.87,50.21,22.33,12.03,87.94,6.443914,47.67,132841,778400,2001,29.700001
"25017374000",4946,1727,27.15,3.09,12.84,17.24,68.97,73.97,2.78,4.98,2.43,2.72,1.45,5.15,2.66,1.39,1.22,4.28,2.78,7.47,8.8,9.61,15.81,26.46,3.452945,.98,1735,83.03,16.97,.46,12.29,42.66,0,0,0,3.41,18.77,22.87,23.43,9,84.47,4.290876,51.19,126625,665800,436,30.5
"25017374100",4369,1935,24.33,1.92,9.01,17.26,63.82,69.9,7.34,2.69,2.95,2.89,2.22,4.39,0,3.88,.88,12.35,6.93,12.45,16.9,7.86,10.08,6.2,14.25904,5.89,2031,65.27,34.73,4.73,6.55,1.04,0,4.17,3.57,11.61,40.62,32.44,33.65,6.49,88.74,10.79692,55.36,79871,491000,1784,31.799999
"25017374200",4336,1544,33.97,4.09,12.94,19.47,80.39,84.9,1.81,1.36,1.3,4.99,.78,0,.45,1.36,.58,7.97,3.95,7.58,13.34,2.91,13.8,37.82,4.644177,.91,1601,77.85,22.15,3.56,0,3.4,7.1,6.79,0,32.1,15.43,35.19,16.56,8.15,88.28,7.01107,35.38,151786,752100,1520,19.5
"25017374300",3486,1285,32.27,1.46,11.72,22.76,82.36,83.77,1.48,.78,1.71,.78,.93,2.1,.86,0,0,5.84,3.97,2.65,12.45,4.67,12.14,49.65,2.610442,0,1285,86.85,13.15,0,0,8.66,14.17,0,14.96,37.8,7.87,16.54,10.57,4.12,94.31,8.125179,36.1,199637,957700,1331,28.4
"25017374400",5826,2127,33.64,1.38,16.72,25.09,82.19,82.25,6.16,3.24,3.1,1.69,1.32,.99,0,1.93,.61,3.9,4.56,6.58,3.57,7.76,7.62,46.97,7.069996,.42,2185,70.66,29.34,2.65,22.68,15.82,1.47,0,8.32,2.12,10.44,39.15,17.5,4.46,88.12,4.386119,42.79,187448,1000001,1452,27.5
"25017374500",4364,1649,24.84,0,12.86,21.93,66.64,72.88,.61,1.94,.42,3.88,2.3,1.7,2.73,2.49,1.76,6.61,5.34,14.86,4.91,12.8,18.74,18.92,1.264045,0,1661,66.34,33.66,.72,2.08,2.46,3.4,5.67,16.26,17.2,38.75,14.18,20.02,6.22,84.9,7.618602,27.02,126563,600600,1538,24
"25017374600",4947,1896,30.24,2.54,10.66,13.96,59.27,58.76,3.01,4.69,1.85,1.53,2,1.37,2.95,1.32,4.01,3.48,7.38,15.14,12.24,7.12,15.66,16.24,7.923995,4.43,1964,74.42,25.58,3.46,0,6.97,0,3.37,14.83,15.06,40.45,19.33,29.48,6.02,90.51,7.672065,40.2,101579,504500,1621,28.299999
"25017374700",4802,1777,32.19,.96,7.25,24.76,63.86,68.7,2.19,2.03,4,1.07,5.29,3.21,.96,5.29,.79,5.57,3.83,13.67,11.09,7.09,9.17,24.76,6.101624,.96,1830,60.61,39.39,2.9,4,3,1.57,2.29,12.14,21.71,42,13.29,20.89,9.56,85.3,10.09806,40.86,105938,615000,1563,24.799999
"25017374800",4573,1439,19.24,3.02,8.15,18.12,62.81,77.78,2.99,5.28,5.35,1.88,3.82,3.06,1.11,3.54,.69,1.95,6.81,7.64,7.99,12.3,6.88,28.7,2.601775,1.39,1462,63.52,36.48,1.57,5.72,12.62,4.14,4.54,8.09,7.3,37.48,20.12,15.97,8.21,79.67,8.739651,42.28,123094,677300,1601,28.200001
"25017382100",4976,1800,60.69,2.73,8.15,33.25,100.25,133.65,3.01,1.7,1.65,1.7,2.33,3.75,.57,2.04,1.14,4.43,25.49,51.57,37.17,7.84,13,42.61,2.911392,1.42,1834,191.71,8.29,1.89,0,48.94,0,0,12.77,0,7.45,30.85,70.23,6.87,192.37,2.700422,24.66,95828,446850,1021,23.1
"25017382200",5164,1956,33.44,1.96,12.12,17.64,56.87,58.23,1.53,.87,.66,0,2.45,0,8.84,1.53,1.69,4.75,12.01,10.33,18.4,14.37,11.25,11.3,1.959643,.51,2045,80.32,19.68,4.35,2.46,0,4.64,17.76,3.83,21.86,43.44,6.01,24.44,5.35,94.08,3.723197,22.59,104119,411200,1494,19.1
"25017382300",5721,2177,29.49,1.87,12.1,25.36,68.27,71.62,4.5,1.79,0,.37,2.02,2.62,.6,3.72,2.94,3.67,3.45,14.1,15.2,5.83,14.06,25.13,3.100775,.73,2246,81.3,18.7,3.07,12.04,3.44,10.57,12.04,25.55,12.04,2.95,21.38,29.94,4.12,87.29,8.30829,20.4,115881,632600,1117,26.299999
"25017382400",4603,1805,34.93,3.88,4.86,16.48,51.4,54.83,3.66,9.64,4.04,4.82,5.65,5.26,1.39,.89,2.33,2.11,9.14,10.8,8.37,9.92,9.14,12.85,6.930263,1,1916,64.6,35.4,5.79,15.78,27.62,6,13.04,5.66,8.23,20.41,3.26,20.33,7.29,85.35,5.148816,55.55,80057,431700,809,36.700001
"25017382500",4445,1810,29.04,6.05,7.91,14.78,57.9,63.17,1.66,1.22,3.31,6.3,.5,3.37,4.03,.99,3.81,10.28,8.07,11.05,12.65,9.28,11.71,11.77,2.912844,0,1872,61.22,38.78,3.31,3.04,1.16,4.64,1.59,20.43,47.25,17.39,4.49,19.58,9.39,80.01,13.11927,37.46,82700,428800,1351,26
"25017382601",4157,2171,20.3,1.48,12.64,17.58,62.62,68.1,5.2,2.63,3.09,3.92,1.98,4.15,6.96,3.18,2.81,7.83,6.96,16.67,17.23,6.4,3.59,7.42,9.763313,1.2,2302,59.88,40.12,5.69,0,0,0,0,52.01,27.78,20.21,0,28.62,8.62,86.35,10.37037,30.31,76250,233700,1240,24.299999
